sample_id	genus	Surface	rela	highlight
CAR1_ita_i	Ahniella	carcass	7.91269591498375e-6	FALSE
CAR1_ita_i	Akkermansia	carcass	2.3794206155695816e-5	FALSE
CAR1_ita_i	Alcaligenes	carcass	1.9181272792492525e-4	FALSE
CAR1_ita_i	Alcanivorax	carcass	2.0034272635809922e-5	FALSE
CAR1_ita_i	Algibacter	carcass	7.351511807538094e-5	FALSE
CAR1_ita_i	Algicella	carcass	1.2794997649760958e-5	FALSE
CAR1_ita_i	Algoriphagus	carcass	9.00700492450278e-5	FALSE
CAR1_ita_i	Aliamphritea	carcass	8.754472076152235e-6	FALSE
CAR1_ita_i	Aliarcobacter	carcass	0.07999802912141464	TRUE
CAR1_ita_i	Alicycliphilus	carcass	9.177043709058813e-4	FALSE
CAR1_ita_i	Alicyclobacillus	carcass	2.3962561387929512e-5	FALSE
CAR1_ita_i	Alienimonas	carcass	3.254867823184805e-6	FALSE
CAR1_ita_i	Aliiglaciecola	carcass	2.9181573587174115e-6	FALSE
CAR1_ita_i	Aliirhizobium	carcass	1.0662498041467465e-5	FALSE
CAR1_ita_i	Aliiroseovarius	carcass	6.964294773400592e-5	FALSE
CAR1_ita_i	Aliivibrio	carcass	1.330006334646205e-5	FALSE
CAR1_ita_i	Alishewanella	carcass	2.4259988964875711e-4	FALSE
CAR1_ita_i	Alistipes	carcass	2.1268877672190364e-4	FALSE
CAR1_ita_i	Alkalibacter	carcass	2.2559601119315374e-5	FALSE
CAR1_ita_i	Alkalicella	carcass	8.945274672683757e-5	FALSE
CAR1_ita_i	Alkalicoccus	carcass	4.60170968105438e-6	FALSE
CAR1_ita_i	Alkalihalobacillus	carcass	2.974275769461977e-5	FALSE
CAR1_ita_i	Alkalihalophilus	carcass	1.610598388369033e-5	FALSE
CAR1_ita_i	Alkalilimnicola	carcass	6.4536172356250445e-6	FALSE
CAR1_ita_i	Alkalimarinus	carcass	1.111144532742399e-5	FALSE
CAR1_ita_i	Alkaliphilus	carcass	1.5460622160127824e-4	FALSE
CAR1_ita_i	Alkalitalea	carcass	1.2896010789101176e-4	FALSE
CAR1_ita_i	Alloacidobacterium	carcass	1.3468418578695745e-6	FALSE
CAR1_ita_i	Alloactinosynnema	carcass	9.708485058809849e-6	FALSE
CAR1_ita_i	Alloalcanivorax	carcass	1.3692892221674008e-5	FALSE
CAR1_ita_i	Allobacillus	carcass	4.938420145521773e-6	FALSE
CAR1_ita_i	Allobaculum	carcass	7.632103861260921e-6	FALSE
CAR1_ita_i	Allobranchiibius	carcass	1.380512904316314e-5	FALSE
CAR1_ita_i	Allochromatium	carcass	1.7957891438260995e-5	FALSE
CAR1_ita_i	Allocoleopsis	carcass	1.7957891438260993e-6	FALSE
CAR1_ita_i	Allocoprobacillus	carcass	1.251440559603813e-5	FALSE
CAR1_ita_i	Allofrancisella	carcass	3.647696698396764e-6	FALSE
CAR1_ita_i	Allokutzneria	carcass	1.3356181757206613e-5	FALSE
CAR1_ita_i	Allomeiothermus	carcass	2.413091662016321e-6	FALSE
CAR1_ita_i	Allorhizobium	carcass	1.1055326916679423e-5	FALSE
CAR1_ita_i	Allosaccharopolyspora	carcass	8.529998433173971e-6	FALSE
CAR1_ita_i	Allosphingosinicella	carcass	4.60170968105438e-6	FALSE
CAR1_ita_i	Alloyangia	carcass	4.169597918321224e-5	FALSE
CAR1_ita_i	Alteracholeplasma	carcass	4.321117627331551e-6	FALSE
CAR1_ita_i	Altererythrobacter	carcass	2.502881119207626e-5	FALSE
CAR1_ita_i	Alteriqipengyuania	carcass	3.984407162864158e-6	FALSE
CAR1_ita_i	Alterisphingorhabdus	carcass	3.4793414661630676e-6	FALSE
CAR1_ita_i	Alteromonas	carcass	8.687129983258755e-5	FALSE
CAR1_ita_i	Alysiella	carcass	7.598432814814182e-5	FALSE
CAR1_ita_i	Amedibacterium	carcass	1.9416970117619698e-5	FALSE
CAR1_ita_i	Aminipila	carcass	8.524386592099516e-5	FALSE
CAR1_ita_i	Aminithiophilus	carcass	2.4692100727608864e-6	FALSE
CAR1_ita_i	Aminobacter	carcass	6.358215937359283e-5	FALSE
CAR1_ita_i	Aminobacterium	carcass	7.239274986048963e-6	FALSE
CAR1_ita_i	Aminomonas	carcass	4.096643984353289e-6	FALSE
CAR1_ita_i	Ammonifex	carcass	2.5253284835054524e-6	FALSE
CAR1_ita_i	Amnibacterium	carcass	0	FALSE
CAR1_ita_i	Amniculibacterium	carcass	4.3536663055633996e-4	FALSE
CAR1_ita_i	Amphibacillus	carcass	1.4310194739864229e-5	FALSE
CAR1_ita_i	Amphritea	carcass	1.1728747845614211e-5	FALSE
CAR1_ita_i	Amycolatopsis	carcass	3.101103377744695e-4	FALSE
CAR1_ita_i	Amygdalobacter	carcass	1.5264207722521846e-5	FALSE
CAR1_ita_i	Amylibacter	carcass	8.137169557962013e-6	FALSE
CAR1_ita_i	Amylolactobacillus	carcass	3.984407162864158e-6	FALSE
CAR1_ita_i	Anabaena	carcass	5.49960425296743e-6	FALSE
CAR1_ita_i	Anabaenopsis	carcass	1.571315500847837e-6	FALSE
CAR1_ita_i	Anaerobacillus	carcass	1.380512904316314e-5	FALSE
CAR1_ita_i	Anaerobutyricum	carcass	4.646604409650032e-5	FALSE
CAR1_ita_i	Anaerococcus	carcass	1.5932016810382176e-4	FALSE
CAR1_ita_i	Anaerocolumna	carcass	1.3322510710759875e-4	FALSE
CAR1_ita_i	Anaerohalosphaera	carcass	1.571315500847837e-6	FALSE
CAR1_ita_i	Anaerolinea	carcass	2.693683715739149e-6	FALSE
CAR1_ita_i	Anaeromicropila	carcass	3.0472297034299123e-5	FALSE
CAR1_ita_i	Anaeromusa	carcass	1.1392037381146818e-5	FALSE
CAR1_ita_i	Anaeromyxobacter	carcass	2.7385784443348016e-5	FALSE
CAR1_ita_i	Anaeropeptidivorans	carcass	2.0146509457299053e-5	FALSE
CAR1_ita_i	Anaerostipes	carcass	4.871078052628295e-5	FALSE
CAR1_ita_i	Anaerotignum	carcass	3.709426950215787e-4	FALSE
CAR1_ita_i	Anaerotruncus	carcass	1.8462957134962084e-5	FALSE
CAR1_ita_i	Anaplasma	carcass	6.2291435926467824e-6	FALSE
CAR1_ita_i	Anatilimnocola	carcass	1.571315500847837e-6	FALSE
CAR1_ita_i	Ancylobacter	carcass	4.9215846222984035e-5	FALSE
CAR1_ita_i	Anderseniella	carcass	7.575985450516357e-6	FALSE
CAR1_ita_i	Aneurinibacillus	carcass	1.6498812758902288e-5	FALSE
CAR1_ita_i	Anoxybacillus	carcass	3.617392756594699e-4	FALSE
CAR1_ita_i	Anoxybacter	carcass	1.3187826524972917e-5	FALSE
CAR1_ita_i	Anoxybacteroides	carcass	9.147300951364194e-6	FALSE
CAR1_ita_i	Anseongella	carcass	1.0381905987744637e-5	FALSE
CAR1_ita_i	Antarcticibacterium	carcass	5.174117470648949e-5	FALSE
CAR1_ita_i	Antarctobacter	carcass	2.2166772244103416e-5	FALSE
CAR1_ita_i	Anthocerotibacter	carcass	1.571315500847837e-6	FALSE
CAR1_ita_i	Antiquaquibacter	carcass	1.380512904316314e-5	FALSE
CAR1_ita_i	Apibacter	carcass	3.4176112143440455e-5	FALSE
CAR1_ita_i	Apilactobacillus	carcass	1.4310194739864229e-5	FALSE
CAR1_ita_i	Aquabacter	carcass	1.0550261219978334e-5	FALSE
CAR1_ita_i	Aquabacterium	carcass	6.840834269762547e-5	FALSE
CAR1_ita_i	Aquaspirillum	carcass	6.790327700092439e-5	FALSE
CAR1_ita_i	Aquella	carcass	5.8924331281793885e-6	FALSE
CAR1_ita_i	Aquibium	carcass	3.686979585917961e-5	FALSE
CAR1_ita_i	Aquicella	carcass	9.652366648065284e-6	FALSE
CAR1_ita_i	Aquifex	carcass	7.295393396793529e-7	FALSE
CAR1_ita_i	Aquiflexum	carcass	1.8462957134962084e-5	FALSE
CAR1_ita_i	Aquihabitans	carcass	9.876840291043546e-6	FALSE
CAR1_ita_i	Aquiluna	carcass	1.2346050363804434e-5	FALSE
CAR1_ita_i	Aquimarina	carcass	1.4927497258054452e-4	FALSE
CAR1_ita_i	Aquincola	carcass	4.326729468406008e-5	FALSE
CAR1_ita_i	Aquipluma	carcass	1.6481977235678917e-4	FALSE
CAR1_ita_i	Aquipseudomonas	carcass	1.913637806389687e-5	FALSE
CAR1_ita_i	Aquirhabdus	carcass	1.251440559603813e-5	FALSE
CAR1_ita_i	Aquirufa	carcass	2.6992955568136058e-5	FALSE
CAR1_ita_i	Aquisalimonas	carcass	6.2291435926467824e-6	FALSE
CAR1_ita_i	Aquisalinus	carcass	3.4793414661630676e-6	FALSE
CAR1_ita_i	Aquisediminimonas	carcass	1.9641443760597963e-6	FALSE
CAR1_ita_i	Aquisphaera	carcass	8.473880022429406e-6	FALSE
CAR1_ita_i	Aquitalea	carcass	5.117999059904383e-5	FALSE
CAR1_ita_i	Arabiibacter	carcass	2.2559601119315374e-5	FALSE
CAR1_ita_i	Arachidicoccus	carcass	1.1178787420317469e-4	FALSE
CAR1_ita_i	Arachnia	carcass	1.853029922785556e-4	FALSE
CAR1_ita_i	Arcanobacterium	carcass	5.7128542137967784e-5	FALSE
CAR1_ita_i	Archangium	carcass	2.4972692781331695e-5	FALSE
CAR1_ita_i	Arcobacter	carcass	0.0011584523530000677	FALSE
CAR1_ita_i	Arcticibacterium	carcass	1.1728747845614211e-5	FALSE
CAR1_ita_i	Arenibacter	carcass	2.6880718746646927e-5	FALSE
CAR1_ita_i	Arenimonas	carcass	3.0865125909511085e-5	FALSE
CAR1_ita_i	Aristaeella	carcass	1.812624667049469e-5	FALSE
CAR1_ita_i	Aristophania	carcass	2.0763811975489273e-6	FALSE
CAR1_ita_i	Aromatoleum	carcass	9.736544264182132e-5	FALSE
CAR1_ita_i	Arsenicicoccus	carcass	2.6768481925157792e-5	FALSE
CAR1_ita_i	Arsenophonus	carcass	1.2794997649760958e-5	FALSE
CAR1_ita_i	Arthrobacter	carcass	6.809969143853036e-4	FALSE
CAR1_ita_i	Asaia	carcass	2.2447364297826243e-6	FALSE
CAR1_ita_i	Asticcacaulis	carcass	2.9069336765684982e-5	FALSE
CAR1_ita_i	Athalassotoga	carcass	2.30085484052719e-6	FALSE
CAR1_ita_i	Atlantibacter	carcass	3.983845978756712e-4	FALSE
CAR1_ita_i	Atopobium	carcass	1.851907554570665e-6	FALSE
CAR1_ita_i	Atribacter	carcass	1.9080259653152308e-6	FALSE
CAR1_ita_i	Aurantiacibacter	carcass	9.82072188029898e-6	FALSE
CAR1_ita_i	Aurantibacillus	carcass	6.234755433721238e-5	FALSE
CAR1_ita_i	Aurantimicrobium	carcass	1.7957891438260995e-5	FALSE
CAR1_ita_i	Aurantimonas	carcass	9.31565618359789e-6	FALSE
CAR1_ita_i	Auraticoccus	carcass	4.06297293790655e-5	FALSE
CAR1_ita_i	Aureibacter	carcass	1.7845654616771864e-5	FALSE
CAR1_ita_i	Aureibaculum	carcass	3.52423619475872e-5	FALSE
CAR1_ita_i	Aureimonas	carcass	5.4715450475951464e-5	FALSE
CAR1_ita_i	Aureispira	carcass	2.811532378302737e-5	FALSE
CAR1_ita_i	Aureliella	carcass	1.010131393402181e-6	FALSE
CAR1_ita_i	Auritidibacter	carcass	1.2458287185293565e-5	FALSE
CAR1_ita_i	Austwickia	carcass	1.4871378847309886e-5	FALSE
CAR1_ita_i	Avibacterium	carcass	2.2559601119315374e-5	FALSE
CAR1_ita_i	Azoarcus	carcass	7.418853900431572e-5	FALSE
CAR1_ita_i	Azohydromonas	carcass	1.0662498041467464e-6	FALSE
CAR1_ita_i	Azonexus	carcass	1.6852358746593051e-4	FALSE
CAR1_ita_i	Azorhizobium	carcass	9.31565618359789e-6	FALSE
CAR1_ita_i	Azospira	carcass	5.8419265585092795e-5	FALSE
CAR1_ita_i	Azospirillum	carcass	8.726412870779951e-5	FALSE
CAR1_ita_i	Azotobacter	carcass	3.7879927252581786e-5	FALSE
CAR1_ita_i	Bacillus	carcass	4.800368855090142e-4	FALSE
CAR1_ita_i	Bacterioplanes	carcass	1.3187826524972917e-5	FALSE
CAR1_ita_i	Bacterioplanoides	carcass	4.545591270309814e-6	FALSE
CAR1_ita_i	Bacteriovorax	carcass	8.294301108046796e-5	FALSE
CAR1_ita_i	Bacteroides	carcass	0.0020093196967091716	FALSE
CAR1_ita_i	Baekduia	carcass	1.734058892007077e-5	FALSE
CAR1_ita_i	Barnesiella	carcass	9.876840291043547e-5	FALSE
CAR1_ita_i	Barrientosiimonas	carcass	2.3794206155695816e-5	FALSE
CAR1_ita_i	Bartonella	carcass	5.886821287104932e-5	FALSE
CAR1_ita_i	Basfia	carcass	6.4536172356250445e-6	FALSE
CAR1_ita_i	Basilea	carcass	3.142631001695674e-6	FALSE
CAR1_ita_i	Bdellovibrio	carcass	1.8642536049344693e-4	FALSE
CAR1_ita_i	Beggiatoa	carcass	7.40763021828266e-6	FALSE
CAR1_ita_i	Beijerinckia	carcass	3.70381510914133e-6	FALSE
CAR1_ita_i	Belliella	carcass	5.785808147764714e-5	FALSE
CAR1_ita_i	Bergeyella	carcass	3.1577829725967067e-4	FALSE
CAR1_ita_i	Bermanella	carcass	2.9181573587174115e-6	FALSE
CAR1_ita_i	Bernardetia	carcass	3.9748670330375823e-4	FALSE
CAR1_ita_i	Berryella	carcass	1.9360851706875136e-5	FALSE
CAR1_ita_i	Beutenbergia	carcass	2.4635982316864302e-5	FALSE
CAR1_ita_i	Bhargavaea	carcass	0	FALSE
CAR1_ita_i	Bibersteinia	carcass	1.7396707330815336e-5	FALSE
CAR1_ita_i	Bifidobacterium	carcass	6.800990198133906e-4	FALSE
CAR1_ita_i	Billgrantia	carcass	5.219012199244601e-6	FALSE
CAR1_ita_i	Biomaibacter	carcass	7.632103861260923e-6	FALSE
CAR1_ita_i	Bisgaardia	carcass	1.1897103077847908e-5	FALSE
CAR1_ita_i	Bizionia	carcass	4.124703189725572e-5	FALSE
CAR1_ita_i	Blastochloris	carcass	1.3973484275396836e-5	FALSE
CAR1_ita_i	Blastococcus	carcass	3.1931375713657834e-5	FALSE
CAR1_ita_i	Blastomonas	carcass	1.0494142809233768e-5	FALSE
CAR1_ita_i	Blastopirellula	carcass	2.132499608293493e-6	FALSE
CAR1_ita_i	Blattabacterium	carcass	1.1582839977678342e-4	FALSE
CAR1_ita_i	Blautia	carcass	4.386776167902693e-4	FALSE
CAR1_ita_i	Bombilactobacillus	carcass	1.2458287185293565e-5	FALSE
CAR1_ita_i	Bombiscardovia	carcass	3.254867823184805e-6	FALSE
CAR1_ita_i	Bordetella	carcass	2.0045496317958834e-4	FALSE
CAR1_ita_i	Borrelia	carcass	1.633045752666859e-5	FALSE
CAR1_ita_i	Borreliella	carcass	1.2738879239016393e-5	FALSE
CAR1_ita_i	Bosea	carcass	5.937889040882486e-4	FALSE
CAR1_ita_i	Botrimarina	carcass	3.142631001695674e-6	FALSE
CAR1_ita_i	Boudabousia	carcass	3.928288752119593e-6	FALSE
CAR1_ita_i	Bowdeniella	carcass	0.0017448336268700339	FALSE
CAR1_ita_i	Brachybacterium	carcass	5.202737860128678e-4	FALSE
CAR1_ita_i	Brachymonas	carcass	0.006375612644690098	FALSE
CAR1_ita_i	Brachyspira	carcass	5.8699857638815626e-5	FALSE
CAR1_ita_i	Bradymonas	carcass	8.866708897641366e-6	FALSE
CAR1_ita_i	Bradyrhizobium	carcass	4.005170974839647e-4	FALSE
CAR1_ita_i	Brasilonema	carcass	2.862038947972846e-6	FALSE
CAR1_ita_i	Bremerella	carcass	5.331249020733733e-6	FALSE
CAR1_ita_i	Brenneria	carcass	1.3524536989440312e-5	FALSE
CAR1_ita_i	Breoghania	carcass	2.895709994419585e-5	FALSE
CAR1_ita_i	Brevefilum	carcass	1.5151970901032713e-6	FALSE
CAR1_ita_i	Brevibacillus	carcass	5.684795008424496e-5	FALSE
CAR1_ita_i	Brevibacterium	carcass	0.0014059906627943467	FALSE
CAR1_ita_i	Brevirhabdus	carcass	2.940604723015238e-5	FALSE
CAR1_ita_i	Brevundimonas	carcass	0.010988826599947113	FALSE
CAR1_ita_i	Breznakiella	carcass	2.974275769461977e-6	FALSE
CAR1_ita_i	Brochothrix	carcass	6.7903277000924385e-6	FALSE
CAR1_ita_i	Brooklawnia	carcass	2.1717824958146888e-4	FALSE
CAR1_ita_i	Brucella	carcass	1.1678241275944103e-4	FALSE
CAR1_ita_i	Brucepastera	carcass	2.413091662016321e-6	FALSE
CAR1_ita_i	Buchnera	carcass	7.026025025219614e-5	FALSE
CAR1_ita_i	Bulleidia	carcass	1.000030079468159e-4	FALSE
CAR1_ita_i	Burkholderia	carcass	3.6594815646531233e-4	FALSE
CAR1_ita_i	Buttiauxella	carcass	1.1840984667103342e-5	FALSE
CAR1_ita_i	Butyricicoccus	carcass	1.122368214891312e-7	FALSE
CAR1_ita_i	Butyricimonas	carcass	7.862189345313642e-5	FALSE
CAR1_ita_i	Butyrivibrio	carcass	3.232420458886979e-5	FALSE
CAR1_ita_i	Bythopirellula	carcass	3.3109862339293706e-6	FALSE
CAR1_ita_i	Caballeronia	carcass	4.4221307666717694e-5	FALSE
CAR1_ita_i	Caenibius	carcass	6.00466994966852e-5	FALSE
CAR1_ita_i	Caldalkalibacillus	carcass	5.948551538923954e-6	FALSE
CAR1_ita_i	Caldanaerobacter	carcass	1.010131393402181e-5	FALSE
CAR1_ita_i	Caldibacillus	carcass	1.6274339115924025e-6	FALSE
CAR1_ita_i	Caldicellulosiruptor	carcass	4.9047490990750335e-5	FALSE
CAR1_ita_i	Caldichromatium	carcass	1.1167563738168556e-5	FALSE
CAR1_ita_i	Caldifermentibacillus	carcass	7.744340682750054e-6	FALSE
CAR1_ita_i	Caldilinea	carcass	6.846446110837004e-6	FALSE
CAR1_ita_i	Caldimicrobium	carcass	5.050656967010905e-7	FALSE
CAR1_ita_i	Caldimonas	carcass	7.0148013430707e-5	FALSE
CAR1_ita_i	Caldinitratiruptor	carcass	4.040525573608724e-6	FALSE
CAR1_ita_i	Caldisericum	carcass	4.60170968105438e-6	FALSE
CAR1_ita_i	Calditerrivibrio	carcass	5.387367431478298e-6	FALSE
CAR1_ita_i	Caldithrix	carcass	5.780196306690257e-6	FALSE
CAR1_ita_i	Caloramator	carcass	0.0015697441853469891	FALSE
CAR1_ita_i	Caloranaerobacter	carcass	2.1773943368891454e-5	FALSE
CAR1_ita_i	Calothrix	carcass	1.8743549188684912e-5	FALSE
CAR1_ita_i	Calycomorphotria	carcass	3.254867823184805e-6	FALSE
CAR1_ita_i	Caminibacter	carcass	1.7172233687837074e-5	FALSE
CAR1_ita_i	Caminicella	carcass	3.1594665249190434e-5	FALSE
CAR1_ita_i	Campylobacter	carcass	2.6673080626892035e-4	FALSE
CAR1_ita_i	Candidatus Absconditicoccus	carcass	1.4029602686141402e-6	FALSE
CAR1_ita_i	Candidatus Amoebophilus	carcass	9.932958701788113e-6	FALSE
CAR1_ita_i	Candidatus Annandia	carcass	4.489472859565248e-7	FALSE
CAR1_ita_i	Candidatus Arcticimaribacter	carcass	1.3131708114228351e-5	FALSE
CAR1_ita_i	Candidatus Arthromitus	carcass	4.152762395097855e-5	FALSE
CAR1_ita_i	Candidatus Atelocyanobacterium	carcass	3.5915782876521986e-6	FALSE
CAR1_ita_i	Candidatus Azoamicus	carcass	6.173025181902216e-7	FALSE
CAR1_ita_i	Candidatus Azobacteroides	carcass	1.4983615668799017e-5	FALSE
CAR1_ita_i	Candidatus Babela	carcass	2.30085484052719e-6	FALSE
CAR1_ita_i	Candidatus Bandiella	carcass	3.5915782876521986e-6	FALSE
CAR1_ita_i	Candidatus Bealeia	carcass	3.872170341375027e-6	FALSE
CAR1_ita_i	Candidatus Bipolaricaulis	carcass	3.9282887521195925e-7	FALSE
CAR1_ita_i	Candidatus Blochmanniella	carcass	9.427893005087022e-6	FALSE
CAR1_ita_i	Candidatus Cardinium	carcass	1.1335918970402253e-5	FALSE
