sample_id	phylum	Surface	rela
CAR2_ita_i	Gemmatimonadota	carcass	2.1648055938576545e-5
CAR2_ita_i	Ignavibacteriota	carcass	2.032805252768773e-5
CAR2_ita_i	Kiritimatiellota	carcass	2.90400750395539e-6
CAR2_ita_i	Lentisphaerota	carcass	2.112005457422102e-6
CAR2_ita_i	Mycoplasmatota	carcass	1.9852851299767758e-4
CAR2_ita_i	Myxococcota	carcass	2.529126535262967e-4
CAR2_ita_i	Nitrospinota	carcass	3.960010232666441e-6
CAR2_ita_i	Nitrospirota	carcass	5.227213507119702e-5
CAR2_ita_i	Planctomycetota	carcass	5.488574182475688e-4
CAR2_ita_i	Pseudomonadota	carcass	0.5156345163995903
CAR2_ita_i	Rhodothermota	carcass	2.1648055938576545e-5
CAR2_ita_i	Spirochaetota	carcass	2.6400068217776276e-4
CAR2_ita_i	Synergistota	carcass	8.685622443648395e-5
CAR2_ita_i	Thermodesulfobacteriota	carcass	7.970180594946657e-4
CAR2_ita_i	Thermodesulfobiota	carcass	2.3760061395998646e-6
CAR2_ita_i	Thermomicrobiota	carcass	8.448021829688408e-6
CAR2_ita_i	Thermosulfidibacterota	carcass	0
CAR2_ita_i	Thermotogota	carcass	5.757854878297006e-4
CAR2_ita_i	Unknown	carcass	6.312256310870307e-4
CAR2_ita_i	Verrucomicrobiota	carcass	2.8168872788367287e-4
CAR2_ita_i	Vulcanimicrobiota	carcass	2.9040075039553903e-6
CAR3_ita_i	Acidobacteriota	carcass	1.1683274006396383e-4
CAR3_ita_i	Actinomycetota	carcass	0.1922184351977541
CAR3_ita_i	Aquificota	carcass	2.0172559435504543e-5
CAR3_ita_i	Armatimonadota	carcass	1.0086279717752271e-5
CAR3_ita_i	Atribacterota	carcass	3.3620932392507574e-6
CAR3_ita_i	Bacillota	carcass	0.25768343370582525
CAR3_ita_i	Bacteroidota	carcass	0.06691994435735689
CAR3_ita_i	Balneolota	carcass	5.0431398588761366e-06
CAR3_ita_i	Bdellovibrionota	carcass	1.6306152210366175e-4
CAR3_ita_i	Caldisericota	carcass	2.5215699294380683e-6
CAR3_ita_i	Calditrichota	carcass	6.724186478501515e-6
CAR3_ita_i	Campylobacterota	carcass	0.006518258267597406
CAR3_ita_i	Candidatus Absconditibacteriota	carcass	1.6810466196253787e-6
CAR3_ita_i	Candidatus Bipolaricaulota	carcass	8.405233098126894e-7
CAR3_ita_i	Candidatus Cloacimonadota	carcass	2.5215699294380683e-6
CAR3_ita_i	Candidatus Fervidibacterota	carcass	8.405233098126894e-7
CAR3_ita_i	Candidatus Omnitrophota	carcass	8.405233098126894e-7
CAR3_ita_i	Candidatus Saccharibacteria	carcass	5.379349182801212e-5
CAR3_ita_i	Chlamydiota	carcass	3.6983025631758334e-5
CAR3_ita_i	Chlorobiota	carcass	2.773726922381875e-5
CAR3_ita_i	Chloroflexota	carcass	5.715558506726288e-5
CAR3_ita_i	Chrysiogenota	carcass	7.5647097883142044e-6
CAR3_ita_i	Coprothermobacterota	carcass	5.0431398588761366e-06
CAR3_ita_i	Cyanobacteriota	carcass	5.085166024366771e-4
CAR3_ita_i	Deferribacterota	carcass	2.4375175984567992e-5
CAR3_ita_i	Deinococcota	carcass	0.003125065665883579
CAR3_ita_i	Dictyoglomota	carcass	1.6810466196253787e-6
CAR3_ita_i	Elusimicrobiota	carcass	5.883663168688825e-6
CAR3_ita_i	Fibrobacterota	carcass	2.1853606055129925e-5
CAR3_ita_i	Fusobacteriota	carcass	3.967270022315894e-4
CAR3_ita_i	Gemmatimonadota	carcass	1.8491512815879167e-5
CAR3_ita_i	Ignavibacteriota	carcass	2.35346526747553e-5
CAR3_ita_i	Kiritimatiellota	carcass	2.521569929438068e-6
CAR3_ita_i	Lentisphaerota	carcass	3.3620932392507574e-6
CAR3_ita_i	Mycoplasmatota	carcass	6.917506839758434e-4
CAR3_ita_i	Myxococcota	carcass	2.7485112230874945e-4
CAR3_ita_i	Nitrospinota	carcass	7.5647097883142044e-6
CAR3_ita_i	Nitrospirota	carcass	1.5969942886441097e-5
CAR3_ita_i	Planctomycetota	carcass	6.455219019361455e-4
CAR3_ita_i	Pseudomonadota	carcass	0.46541961024934125
CAR3_ita_i	Rhodothermota	carcass	1.6810466196253788e-5
CAR3_ita_i	Spirochaetota	carcass	0.0020391095496055845
CAR3_ita_i	Synergistota	carcass	7.228500464389129e-5
CAR3_ita_i	Thermodesulfobacteriota	carcass	8.52290636150067e-4
CAR3_ita_i	Thermodesulfobiota	carcass	4.202616549063447e-6
CAR3_ita_i	Thermomicrobiota	carcass	8.405233098126894e-6
CAR3_ita_i	Thermosulfidibacterota	carcass	2.5215699294380683e-6
CAR3_ita_i	Thermotogota	carcass	9.92658028888786e-4
CAR3_ita_i	Unknown	carcass	6.984748704543448e-4
CAR3_ita_i	Verrucomicrobiota	carcass	2.6308379597137177e-4
CAR3_ita_i	Vulcanimicrobiota	carcass	0
CAR4_ita_i	Acidobacteriota	carcass	1.163465027929189e-4
CAR4_ita_i	Actinomycetota	carcass	0.23803891639810518
CAR4_ita_i	Aquificota	carcass	1.9893443482727068e-5
CAR4_ita_i	Armatimonadota	carcass	1.145380079308528e-5
CAR4_ita_i	Atribacterota	carcass	6.02831620688699e-7
CAR4_ita_i	Bacillota	carcass	0.2515441531963941
CAR4_ita_i	Bacteroidota	carcass	0.06944499704009674
CAR4_ita_i	Balneolota	carcass	1.8084948620660969e-6
CAR4_ita_i	Bdellovibrionota	carcass	9.343890120674834e-5
CAR4_ita_i	Caldisericota	carcass	1.205663241377398e-6
CAR4_ita_i	Calditrichota	carcass	6.028316206886989e-6
CAR4_ita_i	Campylobacterota	carcass	0.009740553327087998
CAR4_ita_i	Candidatus Absconditibacteriota	carcass	0
CAR4_ita_i	Candidatus Bipolaricaulota	carcass	0
CAR4_ita_i	Candidatus Cloacimonadota	carcass	6.02831620688699e-7
CAR4_ita_i	Candidatus Fervidibacterota	carcass	6.02831620688699e-7
CAR4_ita_i	Candidatus Omnitrophota	carcass	1.8084948620660969e-6
CAR4_ita_i	Candidatus Saccharibacteria	carcass	3.134724427581234e-5
CAR4_ita_i	Chlamydiota	carcass	2.5318928068925357e-5
CAR4_ita_i	Chlorobiota	carcass	2.351043320685926e-5
CAR4_ita_i	Chloroflexota	carcass	4.581520317234112e-5
CAR4_ita_i	Chrysiogenota	carcass	4.219821344820893e-6
CAR4_ita_i	Coprothermobacterota	carcass	1.8084948620660969e-6
CAR4_ita_i	Cyanobacteriota	carcass	3.5627348782702107e-4
CAR4_ita_i	Deferribacterota	carcass	1.627645375859487e-5
CAR4_ita_i	Deinococcota	carcass	0.001271371888032466
CAR4_ita_i	Dictyoglomota	carcass	3.014158103443495e-6
CAR4_ita_i	Elusimicrobiota	carcass	4.219821344820893e-6
CAR4_ita_i	Fibrobacterota	carcass	2.7127422930991453e-5
CAR4_ita_i	Fusobacteriota	carcass	6.414128444127757e-4
CAR4_ita_i	Gemmatimonadota	carcass	1.3865127275840075e-5
CAR4_ita_i	Ignavibacteriota	carcass	3.616989724132194e-5
CAR4_ita_i	Kiritimatiellota	carcass	7.2339794482643875e-6
CAR4_ita_i	Lentisphaerota	carcass	1.8084948620660969e-6
CAR4_ita_i	Mycoplasmatota	carcass	2.7368555579266934e-4
