sample_id	family	Surface	rela
CAR1_ita_i	Candidatus Babeliaceae	carcass	2.30085484052719e-6
CAR1_ita_i	Candidatus Bipolaricaulaceae	carcass	3.9282887521195925e-7
CAR1_ita_i	Candidatus Brocadiaceae	carcass	6.678090878603307e-6
CAR1_ita_i	Candidatus Chazhemtobacteraceae	carcass	2.244736429782624e-7
CAR1_ita_i	Candidatus Chloroheliaceae	carcass	2.581446894250018e-6
CAR1_ita_i	Candidatus Chromulinivoraceae	carcass	1.7957891438260993e-6
CAR1_ita_i	Candidatus Cloacimonadaceae	carcass	4.60170968105438e-6
CAR1_ita_i	Candidatus Comchoanobacteraceae	carcass	1.2346050363804432e-6
CAR1_ita_i	Candidatus Competibacteraceae	carcass	5.611841074456561e-7
CAR1_ita_i	Candidatus Deianiraeaceae	carcass	1.010131393402181e-6
CAR1_ita_i	Candidatus Desulfofervidaceae	carcass	1.851907554570665e-6
CAR1_ita_i	Candidatus Hepatoplasmataceae	carcass	2.4692100727608864e-6
CAR1_ita_i	Candidatus Izemoplasmataceae	carcass	5.443485842222863e-6
CAR1_ita_i	Candidatus Korobacteraceae	carcass	2.7498021264837145e-6
CAR1_ita_i	Candidatus Lucifugimonadaceae	carcass	3.9282887521195925e-7
CAR1_ita_i	Candidatus Midichloriaceae	carcass	6.0046699496685195e-6
CAR1_ita_i	Candidatus Nanopelagicaceae	carcass	1.0550261219978334e-5
CAR1_ita_i	Candidatus Nanosynbacteraceae	carcass	5.656735803052213e-5
CAR1_ita_i	Candidatus Paracaedibacteraceae	carcass	3.647696698396764e-6
CAR1_ita_i	Candidatus Pelagibacteraceae	carcass	1.571315500847837e-5
CAR1_ita_i	Candidatus Promineifilaceae	carcass	5.780196306690257e-6
CAR1_ita_i	Candidatus Puniceispirillaceae	carcass	1.9080259653152308e-6
CAR1_ita_i	Candidatus Rhabdochlamydiaceae	carcass	2.020262786804362e-6
CAR1_ita_i	Candidatus Saccharimonadaceae	carcass	3.271703346408175e-5
CAR1_ita_i	Candidatus Uabimicrobiaceae	carcass	7.070919753815266e-6
CAR1_ita_i	Capillimicrobiaceae	carcass	6.90256452158157e-6
CAR1_ita_i	Capsulimonadaceae	carcass	3.872170341375027e-6
CAR1_ita_i	Carbonactinosporaceae	carcass	0
CAR1_ita_i	Cardiobacteriaceae	carcass	2.2279009065592547e-5
CAR1_ita_i	Carnobacteriaceae	carcass	0.022605449860893682
CAR1_ita_i	Caryophanaceae	carcass	0.002970123007066879
CAR1_ita_i	Casimicrobiaceae	carcass	1.1840984667103342e-5
CAR1_ita_i	Catalimonadaceae	carcass	3.451282260790785e-5
CAR1_ita_i	Catenulisporaceae	carcass	1.3524536989440312e-5
CAR1_ita_i	Caulobacteraceae	carcass	0.011209484190994747
CAR1_ita_i	Celerinatantimonadaceae	carcass	7.183156575304397e-6
