sample_id	sample_coverm	Contig_name	Mean coverm	Trimmed Mean coverm	Variance coverm	RPKM coverm	Covered Bases coverm	Length coverm	Read Count coverm	Reads per base coverm	total_rpkm coverm	TPM coverm
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_23765_length_1291_cov_4.526699	7.2822084	7.27556	3.286955	1.2931775	1291	1291	60	0.0464756	560324.9937567768	2.3079061516240995
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_29168_length_1115_cov_4.016038	6.673575	6.6375146	5.282342	1.0980217	1115	1115	44	0.039461885	560324.9937567768	1.9596157805457881
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_29426_length_1108_cov_3.757835	6.8997912	6.90625	9.080855	1.1551841	1093	1108	46	0.041516244	560324.9937567768	2.061632289958918
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_30102_length_1091_cov_5.614865	9.213603	9.252656	10.974539	1.5557443	1091	1091	61	0.055912007	560324.9937567768	2.7765034887508695
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_31978_length_1048_cov_3.222558	4.9832964	4.9234567	3.9562418	0.8496144	1048	1048	32	0.030534351	560324.9937567768	1.5162885994137834
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_39863_length_901_cov_46.018913	70.268974	70.633675	77.98623	12.105826	901	901	392	0.43507215	560324.9937567768	21.605008048694753
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_47688_length_801_cov_2.951743	5.5698924	5.62862	5.32857	0.9031792	801	801	26	0.032459427	560324.9937567768	1.6118845492586535
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_56418_length_722_cov_1.670165	2.7534964	2.738372	1.7937707	0.46246323	722	722	12	0.016620498	560324.9937567768	0.8253482089016787
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_66477_length_654_cov_1.585977	2.2837303	2.270925	1.1181443	0.42545673	654	654	10	0.01529052	560324.9937567768	0.7593035019685026
CS2_ita_i	SRR33841014.fna/SRR33841014_1.clean.fastq.gz	CS2_ita_i_NODE_108915_length_502_cov_1.422819	2.28125	2.3238993	0.5503027	0.3879962	502	502	7	0.0139442235	560324.9937567768	0.6924484974311526
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_1460_length_6764_cov_3.430019	5.482159	5.272926	7.4016924	1.5939776	6764	6764	245	0.036221173	1220495.3891504048	1.306008702834657
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_1785_length_6024_cov_9.597252	15.248894	15.162254	23.680593	4.4123673	5997	6024	604	0.10026561	1220495.3891504048	3.6152265213156425
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_2617_length_4879_cov_18.164179	28.446182	28.063894	85.87616	8.280024	4879	4879	918	0.18815331	1220495.3891504048	6.7841501685342545
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_4968_length_3425_cov_4.797626	7.540458	7.2936587	16.900852	2.1842787	3425	3425	170	0.049635038	1220495.3891504048	1.7896656713471826
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_5408_length_3268_cov_12.156240	15.8380375	15.173433	45.18293	4.713089	3268	3268	350	0.107099146	1220495.3891504048	3.8616196684534905
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_6411_length_2984_cov_3.893479	6.1739593	5.999216	11.669341	1.7549624	2984	2984	119	0.039879356	1220495.3891504048	1.4379098975717075
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_6698_length_2922_cov_2.724799	4.4963927	4.451923	3.9021888	1.2801428	2922	2922	85	0.029089665	1220495.3891504048	1.0488714757792865
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_7017_length_2843_cov_5.917504	10.634979	10.444536	20.268272	3.0493624	2843	2843	197	0.069293	1220495.3891504048	2.498462859513695
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_9789_length_2364_cov_2.861412	4.762421	4.6198597	7.5504	1.3403083	2364	2364	72	0.030456852	1220495.3891504048	1.0981674424292565
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_10167_length_2312_cov_3.771821	6.0300646	5.9295993	4.564112	1.713067	2312	2312	90	0.038927335	1220495.3891504048	1.4035833442947108
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_11080_length_2197_cov_12.802054	21.917929	21.933262	42.999115	6.2695155	2197	2197	313	0.142467	1220495.3891504048	5.136861274309485
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_11872_length_2110_cov_4.005353	7.428571	7.3316326	6.158244	2.0647736	2110	2110	99	0.04691943	1220495.3891504048	1.691750430484873
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_12701_length_2029_cov_165.981763	262.02875	263.04608	741.2476	73.87241	2029	2029	3406	1.6786594	1220495.3891504048	60.526578516140965
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_16968_length_1714_cov_28.228451	43.922634	43.953835	70.56278	12.34963	1714	1714	481	0.2806301	1220495.3891504048	10.11853884068883
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_35346_length_1082_cov_2.157741	3.467811	3.4119048	3.1300044	0.93544936	1017	1082	23	0.021256931	1220495.3891504048	0.7664505481263413
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_50781_length_850_cov_22.859119	35.4	35.60635	17.85694	9.629722	850	850	186	0.21882352	1220495.3891504048	7.890010962436585
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_51875_length_839_cov_1.641582	2.6690857	2.6666667	0.7391737	0.7343207	821	839	14	0.01668653	1220495.3891504048	0.6016579059025906
CS1_ita_i	SRR33841015.fna/SRR33841015_1.clean.fastq.gz	CS1_ita_i_NODE_66323_length_709_cov_236.431193	307.53488	316.94455	9855.025	74.23431	709	709	1196	1.686883	1220495.3891504048	60.82309745690641
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_49_length_95261_cov_18.521721	27.83984	27.690084	58.591064	1.9457445	95261	95261	17679	0.18558487	334106.2788329131	5.823729224116344
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_146_length_56828_cov_9.791908	13.315254	13.043186	28.081814	0.9302159	56819	56828	5042	0.08872387	334106.2788329131	2.78419161486397
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_560_length_29530_cov_18.620356	27.898195	27.61754	68.67225	1.9484708	29530	29530	5488	0.1858449	334106.2788329131	5.83188920246073
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_5153_length_7873_cov_6.086467	10.455005	10.36153	16.06671	0.72310746	7873	7873	543	0.0689699	334106.2788329131	2.164303713554653
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_7373_length_6089_cov_7.016241	11.013807	10.824014	20.819952	0.75933933	6079	6089	441	0.072425686	334106.2788329131	2.272747859311397
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_9361_length_5097_cov_15.902816	25.057207	24.902088	34.80608	1.7299145	5097	5097	841	0.16499902	334106.2788329131	5.177737174059911
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_30159_length_2057_cov_22.130370	35.086	34.92487	53.434353	2.3394926	2057	2057	459	0.2231405	334106.2788329131	7.002240748579235
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_49008_length_1401_cov_3.442051	5.54996	5.5279503	6.3597016	0.3592083	1401	1401	48	0.03426124	334106.2788329131	1.0751318450367717
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_57649_length_1234_cov_3.413910	5.9963098	5.9170084	11.14126	0.39082825	1234	1234	46	0.037277147	334106.2788329131	1.169772239435984
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_58044_length_1228_cov_3.081841	5.0797772	5.079218	3.579516	0.33297336	1228	1228	39	0.031758957	334106.2788329131	0.9966091064290366
CD4_ita_i	SRR33841016.fna/SRR33841016_1.clean.fastq.gz	CD4_ita_i_NODE_104427_length_789_cov_2.276567	4.2394366	4.2270365	0.7654643	0.26576406	789	789	20	0.025348542	334106.2788329131	0.7954476669171157
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_8306_length_6702_cov_8.848503	14.347985	14.2331295	26.260513	0.8430837	6702	6702	639	0.09534467	452035.52513465064	1.86508283778994
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_11204_length_5418_cov_22.930449	33.27316	33.470478	80.20885	1.9356194	5418	5418	1186	0.21889997	452035.52513465064	4.282007259105189
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_21495_length_3413_cov_4.739428	7.687404	7.5383043	14.102133	0.44044015	3413	3413	170	0.049809553	452035.52513465064	0.974348531277057
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_31679_length_2554_cov_6.922369	11.03203	10.931146	14.512081	0.6335844	2554	2554	183	0.07165231	452035.52513465064	1.4016252368909952
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_33381_length_2455_cov_56.301250	78.48243	78.39229	185.56229	4.538301	2455	2455	1260	0.5132383	452035.52513465064	10.039699863518797
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_42506_length_2049_cov_25.731194	40.325962	40.41087	56.248287	2.3001678	2049	2049	533	0.2601269	452035.52513465064	5.088466883913239
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_44392_length_1984_cov_3.456195	5.247546	5.203995	4.8453975	0.3075259	1984	1984	69	0.034778226	452035.52513465064	0.680313565860549
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_48379_length_1859_cov_3.260532	5.263897	5.259259	4.751746	0.29490802	1859	1859	62	0.033351265	452035.52513465064	0.6524000960149181
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_71562_length_1381_cov_14.911765	23.687246	23.727682	22.79234	1.3062031	1381	1381	204	0.14771904	452035.52513465064	2.8896027576835097
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_83535_length_1230_cov_3.069787	5.549074	5.511317	4.245969	0.29474947	1187	1230	41	0.033333335	452035.52513465064	0.6520493492457283
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_94782_length_1122_cov_2.149016	3.4475307	3.4497716	2.1980681	0.18914403	1110	1122	24	0.021390375	452035.52513465064	0.4184273568845247
CD3_ita_i	SRR33841017.fna/SRR33841017_1.clean.fastq.gz	CD3_ita_i_NODE_102240_length_1061_cov_5.405567	8.484083	8.509135	8.986285	0.48337796	1061	1061	58	0.05466541	452035.52513465064	1.0693362205459698
