	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD2_ita_i	CD3_ita_i	CD4_ita_i	CS1_ita_i	CS2_ita_i	CS3_ita_i	CS4_ita_i	DD1_ita_i	DD2_ita_i	DD3_ita_i	DD4_ita_i	DS1_ita_i	DS2_ita_i	DS3_ita_i	DS4_ita_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD2_ita_n	CD3_ita_n	CD4_ita_n	CS1_ita_n	CS2_ita_n	CS3_ita_n	CS4_ita_n	DD1_ita_n	DD2_ita_n	DD3_ita_n	DD4_ita_n	DS1_ita_n	DS2_ita_n	DS3_ita_n	DS4_ita_n	CD1_spa_i	CD2_spa_i	CD3_spa_i	CD4_spa_i	CS1_spa_i	CS2_spa_i	CS3_spa_i	CS4_spa_i	DD1_spa_i	DD2_spa_i	DD3_spa_i	DD4_spa_i	DS1_spa_i	DS2_spa_i	DS3_spa_i	DS4_spa_i	CD1_spa_n	CD2_spa_n	CD3_spa_n	CD4_spa_n	CS1_spa_n	CS2_spa_n	CS3_spa_n	CS4_spa_n	DD1_spa_n	DD2_spa_n	DD3_spa_n	DD4_spa_n
Acinetobacter	4732006.0	1075980.0	214269.0	311296.0	3517094.0	6664044.0	1625966.0	1605657.0	8591840.0	3316654.0	4037419.0	716963.0	2546567.0	3721766.0	4347233.0	5937376.0	3076607.0	6260348.0	6584869.0	4399764.0	21714.0	1758.0	132.0	42.0	9077.0	531.0	4317.0	2751.0	44955.0	54046.0	26889.0	1584.0	2777.0	782.0	19700.0	9167.0	14948.0	13854.0	17487.0	8544.0	357088.0	1397355.0	99410.0	230758.0	118645.0	126265.0	75871.0	127257.0	626453.0	1205129.0	1150357.0	954960.0	935700.0	11275.0	632234.0	310963.0	8923.0	10391.0	2933.0	4004.0	435.0	1628.0	1078.0	1078.0	4383.0	14103.0	9066.0	10304.0
Moraxella	197517.0	65166.0	13442.0	32454.0	189422.0	222705.0	29223.0	104772.0	196024.0	49514.0	72685.0	6009.0	114064.0	105892.0	104122.0	290126.0	144907.0	238174.0	195342.0	223274.0	876.0	100.0	7.0	2.0	460.0	20.0	68.0	295.0	1012.0	908.0	596.0	25.0	118.0	13.0	377.0	399.0	769.0	443.0	536.0	423.0	233360.0	204944.0	9131.0	20624.0	18487.0	6988.0	4325.0	19074.0	78038.0	70477.0	406199.0	204931.0	128357.0	14846.0	242157.0	59475.0	2321.0	1510.0	220.0	169.0	45.0	76.0	52.0	132.0	377.0	608.0	1752.0	2184.0
Psychrobacter	8699.0	4916.0	7653.0	2286.0	36402.0	34006.0	41496.0	31189.0	95880.0	181690.0	110635.0	53641.0	4438.0	16657.0	11974.0	16301.0	55713.0	171132.0	107839.0	57591.0	61.0	21.0	12.0	1.0	82.0	2.0	125.0	51.0	481.0	3229.0	856.0	137.0	4.0	3.0	64.0	25.0	266.0	306.0	283.0	105.0	26757.0	70035.0	260337.0	1807692.0	28613.0	16622.0	20181.0	27475.0	167100.0	37352.0	72797.0	40217.0	41675.0	1924.0	48336.0	15544.0	353.0	464.0	2809.0	9890.0	139.0	478.0	349.0	366.0	808.0	322.0	358.0	432.0
Aquirhabdus	223.0	29.0	13.0	18.0	72.0	164.0	152.0	69.0	94.0	48.0	83.0	40.0	137.0	300.0	196.0	137.0	99.0	103.0	250.0	154.0	2.0	0	0	0	0	0	1.0	0	0	1.0	1.0	0	0	0	0	0	0	0	1.0	0	7.0	17.0	17.0	47.0	9.0	3.0	5.0	8.0	43.0	40.0	78.0	37.0	20.0	1.0	22.0	9.0	0	1.0	0	2.0	0	0	0	0	1.0	0	0	0
Aeromonas	540255.0	155474.0	24075.0	61327.0	455606.0	2603934.0	39269.0	30583.0	580656.0	89708.0	16152.0	112240.0	408489.0	331777.0	380676.0	653009.0	306800.0	326707.0	542114.0	1253223.0	5034.0	274.0	13.0	11.0	2068.0	306.0	170.0	82.0	4463.0	3037.0	297.0	649.0	1173.0	151.0	3191.0	1879.0	2640.0	1860.0	3372.0	6903.0	35447.0	73972.0	13590.0	30797.0	6581.0	11598.0	9640.0	14040.0	330044.0	558486.0	247645.0	613666.0	46206.0	1592.0	68025.0	17473.0	1815.0	1277.0	375.0	881.0	32.0	143.0	188.0	146.0	4550.0	10824.0	8140.0	20525.0
Tolumonas	576.0	115.0	50.0	34.0	359.0	841.0	393.0	125.0	203.0	121.0	173.0	63.0	316.0	537.0	1018.0	675.0	392.0	351.0	784.0	976.0	8.0	1.0	0	0	0	0	3.0	0	3.0	1.0	2.0	0	0	0	8.0	4.0	5.0	3.0	4.0	4.0	40.0	52.0	24.0	46.0	11.0	20.0	21.0	18.0	368.0	239.0	178.0	343.0	124.0	5.0	67.0	63.0	0	0	1.0	2.0	0	0	1.0	0	4.0	10.0	6.0	14.0
Oceanimonas	408.0	54.0	32.0	20.0	314.0	800.0	439.0	189.0	82.0	76.0	113.0	40.0	428.0	710.0	916.0	585.0	585.0	316.0	1065.0	1174.0	6.0	0	0	0	1.0	0	0	0	0	1.0	3.0	1.0	1.0	0	8.0	0	1.0	1.0	7.0	2.0	37.0	29.0	35.0	36.0	10.0	14.0	16.0	18.0	216.0	170.0	91.0	148.0	49.0	6.0	60.0	58.0	0	0	0	0	0	0	0	0	1.0	6.0	1.0	0
Oceanisphaera	201.0	83.0	27.0	20.0	157.0	395.0	194.0	75.0	74.0	61.0	84.0	45.0	160.0	325.0	554.0	421.0	251.0	235.0	716.0	670.0	1.0	0	0	0	0	0	1.0	1.0	0	0	2.0	1.0	0	0	4.0	0	0	0	2.0	1.0	12.0	12.0	24.0	19.0	20.0	7.0	20.0	9.0	154.0	125.0	57.0	122.0	73.0	7.0	39.0	23.0	0	0	0	0	0	1.0	1.0	1.0	3.0	6.0	1.0	1.0
Zobellella	174.0	34.0	10.0	11.0	201.0	383.0	571.0	120.0	43.0	109.0	69.0	26.0	265.0	454.0	326.0	220.0	242.0	115.0	288.0	456.0	0	1.0	0	0	1.0	0	0	0	0	1.0	0	0	1.0	0	3.0	1.0	2.0	0	2.0	0	11.0	19.0	20.0	12.0	6.0	9.0	12.0	14.0	146.0	86.0	61.0	95.0	25.0	3.0	39.0	24.0	0	0	1.0	0	0	0	0	1.0	1.0	1.0	0	1.0
Dongshaea	76.0	4.0	5.0	6.0	64.0	121.0	94.0	19.0	17.0	24.0	35.0	10.0	40.0	99.0	176.0	119.0	64.0	55.0	190.0	154.0	0	0	0	0	0	0	0	0	0	1.0	1.0	0	1.0	0	2.0	2.0	0	0	1.0	2.0	0	1.0	6.0	6.0	5.0	0	10.0	4.0	62.0	40.0	28.0	41.0	30.0	0	11.0	7.0	0	0	0	0	0	0	0	0	2.0	1.0	1.0	0
Succinivibrio	280.0	40.0	25.0	30.0	18.0	40.0	85.0	11.0	70.0	110.0	1183.0	86.0	123.0	281.0	225.0	237.0	134.0	338.0	363.0	266.0	1.0	0	0	0	0	0	0	0	2.0	8.0	44.0	3.0	0	0	3.0	1.0	3.0	1.0	5.0	1.0	70.0	170.0	514.0	102.0	41.0	41.0	114.0	115.0	280.0	478.0	261.0	699.0	39.0	31.0	81.0	68.0	0	3.0	23.0	4.0	2.0	1.0	4.0	4.0	6.0	19.0	11.0	16.0
Stenotrophomonas	255007.0	5171.0	1123.0	1316.0	307560.0	319510.0	649042.0	74324.0	13695.0	13312.0	14399.0	4724.0	522345.0	782410.0	594679.0	397289.0	393698.0	242026.0	528456.0	676674.0	1355.0	11.0	1.0	0	818.0	25.0	1265.0	116.0	60.0	296.0	166.0	42.0	386.0	121.0	2380.0	690.0	2486.0	569.0	2209.0	1665.0	15937.0	25847.0	7856.0	17130.0	4744.0	6886.0	6537.0	14292.0	287226.0	94447.0	26530.0	126958.0	23381.0	1650.0	41045.0	14876.0	589.0	538.0	221.0	141.0	22.0	92.0	97.0	116.0	831.0	792.0	330.0	1351.0
Lysobacter	82118.0	4502.0	748.0	854.0	29910.0	25483.0	1029831.0	26095.0	8359.0	10756.0	15128.0	3454.0	236700.0	104043.0	74862.0	26181.0	62508.0	11521.0	52875.0	52845.0	408.0	14.0	0	0	123.0	6.0	3564.0	61.0	61.0	300.0	173.0	11.0	127.0	35.0	421.0	75.0	519.0	31.0	231.0	143.0	2548.0	2882.0	2392.0	2379.0	1109.0	800.0	706.0	774.0	13713.0	16939.0	9978.0	9925.0	4509.0	659.0	4779.0	6620.0	35.0	33.0	47.0	27.0	7.0	17.0	20.0	12.0	65.0	156.0	102.0	161.0
Xanthomonas	22196.0	2349.0	630.0	699.0	19844.0	27494.0	270111.0	24464.0	4102.0	6052.0	7739.0	2153.0	44656.0	87641.0	64767.0	26832.0	45144.0	12866.0	51895.0	52679.0	124.0	17.0	2.0	0	44.0	2.0	502.0	56.0	18.0	152.0	88.0	3.0	26.0	13.0	233.0	37.0	199.0	19.0	134.0	85.0	1767.0	2353.0	1781.0	1712.0	488.0	823.0	573.0	838.0	11318.0	7913.0	3662.0	6916.0	2055.0	294.0	3640.0	3428.0	21.0	18.0	47.0	29.0	5.0	23.0	17.0	22.0	57.0	107.0	58.0	100.0
Pseudoxanthomonas	17921.0	3091.0	727.0	845.0	41609.0	214104.0	175825.0	27707.0	7966.0	8043.0	9350.0	2575.0	45556.0	109683.0	58510.0	19656.0	58936.0	8246.0	88901.0	61203.0	105.0	8.0	1.0	0	116.0	18.0	375.0	68.0	26.0	197.0	84.0	8.0	29.0	22.0	229.0	17.0	424.0	12.0	474.0	153.0	61891.0	81798.0	4597.0	2994.0	840.0	1129.0	515.0	741.0	19817.0	46561.0	15087.0	57197.0	15907.0	6384.0	40000.0	9288.0	523.0	623.0	46.0	17.0	5.0	55.0	11.0	13.0	72.0	404.0	139.0	684.0
Thermomonas	13714.0	2982.0	425.0	553.0	11845.0	25284.0	174263.0	5449.0	3117.0	6030.0	13968.0	1507.0	34316.0	63156.0	47469.0	18651.0	27125.0	5209.0	27469.0	39030.0	86.0	4.0	0	1.0	31.0	2.0	242.0	11.0	10.0	130.0	130.0	9.0	30.0	12.0	166.0	28.0	169.0	8.0	118.0	81.0	685.0	953.0	584.0	466.0	212.0	199.0	159.0	265.0	11323.0	8981.0	6188.0	14903.0	4457.0	450.0	5092.0	3859.0	13.0	6.0	9.0	8.0	1.0	9.0	7.0	4.0	54.0	92.0	58.0	215.0
Luteimonas	7409.0	836.0	174.0	199.0	15294.0	10072.0	124222.0	9947.0	2312.0	4801.0	5875.0	2617.0	17172.0	38118.0	21309.0	8046.0	34279.0	5751.0	21168.0	22234.0	29.0	6.0	1.0	0	43.0	2.0	132.0	13.0	8.0	88.0	42.0	5.0	10.0	1.0	60.0	6.0	161.0	10.0	42.0	47.0	1238.0	1118.0	952.0	5371.0	539.0	507.0	411.0	616.0	10568.0	3114.0	2500.0	4271.0	1452.0	504.0	2043.0	2431.0	19.0	5.0	26.0	39.0	1.0	13.0	6.0	12.0	29.0	35.0	21.0	51.0
Vulcaniibacterium	596.0	149.0	24.0	14.0	10776.0	132179.0	8720.0	32943.0	975.0	1742.0	3490.0	1597.0	1185.0	2648.0	1672.0	729.0	1287.0	373.0	1170.0	1372.0	2.0	0	0	0	35.0	8.0	7.0	42.0	1.0	28.0	23.0	2.0	1.0	1.0	6.0	1.0	2.0	1.0	2.0	0	14128.0	24157.0	281.0	1140.0	77.0	134.0	46.0	103.0	3263.0	9645.0	11000.0	169398.0	26794.0	14240.0	85203.0	18402.0	126.0	114.0	6.0	10.0	1.0	1.0	7.0	2.0	15.0	116.0	147.0	1881.0
Arenimonas	550.0	95.0	21.0	31.0	606.0	1167.0	4668.0	674.0	214.0	260.0	1239.0	78.0	1299.0	2927.0	1492.0	571.0	1329.0	242.0	1539.0	1378.0	2.0	0	0	0	6.0	0	2.0	1.0	1.0	9.0	11.0	0	0	0	4.0	2.0	6.0	1.0	5.0	1.0	65.0	51.0	35.0	31.0	10.0	21.0	19.0	25.0	275.0	224.0	185.0	162.0	86.0	19.0	104.0	115.0	0	0	0	0	0	0	0	2.0	2.0	4.0	3.0	3.0
Xylella	346.0	55.0	23.0	19.0	367.0	1209.0	2833.0	255.0	75.0	90.0	148.0	48.0	497.0	857.0	851.0	481.0	410.0	210.0	584.0	734.0	3.0	0	0	0	2.0	0	4.0	0	1.0	2.0	2.0	0	2.0	0	5.0	0	2.0	1.0	1.0	2.0	38.0	41.0	41.0	28.0	7.0	14.0	14.0	21.0	224.0	131.0	72.0	124.0	43.0	4.0	62.0	30.0	1.0	1.0	0	1.0	0	0	0	0	5.0	1.0	3.0	6.0
Pseudolysobacter	275.0	32.0	18.0	8.0	187.0	185.0	2681.0	314.0	37.0	83.0	109.0	36.0	482.0	963.0	662.0	307.0	412.0	103.0	346.0	427.0	2.0	0	0	0	0	0	0	0	0	3.0	2.0	1.0	0	0	4.0	1.0	2.0	0	1.0	0	25.0	51.0	32.0	17.0	4.0	5.0	14.0	8.0	60.0	52.0	67.0	53.0	32.0	3.0	35.0	30.0	1.0	0	1.0	0	0	2.0	0	0	0	4.0	0	1.0
Dyella	1477.0	235.0	78.0	79.0	1516.0	2288.0	17949.0	1896.0	299.0	597.0	997.0	242.0	2610.0	5290.0	3158.0	1553.0	2333.0	883.0	2392.0	3046.0	7.0	2.0	0	0	1.0	0	8.0	1.0	0	11.0	5.0	0	0	1.0	10.0	1.0	9.0	4.0	11.0	4.0	135.0	141.0	156.0	139.0	48.0	62.0	89.0	87.0	942.0	667.0	383.0	618.0	226.0	20.0	236.0	266.0	1.0	2.0	2.0	4.0	0	0	0	3.0	6.0	6.0	3.0	15.0
Rhodanobacter	1356.0	230.0	49.0	30.0	1341.0	2028.0	12861.0	1616.0	287.0	585.0	731.0	200.0	2543.0	5347.0	3196.0	1573.0	2404.0	731.0	2509.0	2886.0	5.0	2.0	0	0	2.0	1.0	12.0	2.0	1.0	19.0	3.0	0	0	0	9.0	2.0	6.0	1.0	6.0	3.0	170.0	178.0	134.0	135.0	45.0	61.0	81.0	124.0	907.0	621.0	426.0	553.0	167.0	31.0	290.0	448.0	4.0	2.0	0	1.0	0	4.0	0	2.0	3.0	5.0	1.0	15.0
Luteibacter	947.0	140.0	40.0	39.0	1025.0	1661.0	8472.0	1284.0	210.0	416.0	701.0	190.0	1838.0	3853.0	2162.0	1142.0	1568.0	556.0	1658.0	1883.0	7.0	5.0	0	0	1.0	0	2.0	0	0	11.0	3.0	1.0	4.0	1.0	6.0	1.0	4.0	3.0	6.0	1.0	148.0	142.0	144.0	135.0	40.0	71.0	81.0	53.0	722.0	501.0	259.0	419.0	141.0	15.0	174.0	168.0	4.0	4.0	5.0	1.0	0	2.0	1.0	1.0	6.0	7.0	2.0	9.0
Frateuria	515.0	56.0	11.0	14.0	442.0	781.0	4368.0	561.0	116.0	308.0	435.0	120.0	906.0	1739.0	1132.0	531.0	823.0	295.0	856.0	1042.0	6.0	0	0	0	0	0	3.0	0	0	3.0	3.0	0	1.0	0	7.0	2.0	3.0	1.0	2.0	1.0	36.0	65.0	62.0	53.0	16.0	19.0	17.0	28.0	231.0	178.0	126.0	182.0	62.0	6.0	87.0	117.0	0	0	0	0	0	0	1.0	0	2.0	3.0	2.0	2.0
Dokdonella	281.0	56.0	17.0	3.0	307.0	557.0	2443.0	356.0	91.0	163.0	241.0	59.0	570.0	1364.0	655.0	306.0	438.0	146.0	585.0	542.0	2.0	0	0	0	0	1.0	4.0	1.0	0	3.0	0	0	0	0	1.0	1.0	1.0	0	2.0	1.0	24.0	38.0	31.0	36.0	25.0	24.0	14.0	12.0	193.0	190.0	150.0	107.0	42.0	12.0	75.0	84.0	1.0	0	1.0	0	1.0	0	1.0	1.0	2.0	5.0	4.0	5.0
Tahibacter	217.0	49.0	9.0	19.0	190.0	356.0	2690.0	264.0	59.0	125.0	174.0	40.0	473.0	1067.0	558.0	244.0	352.0	107.0	442.0	360.0	1.0	0	0	0	0	0	3.0	0	1.0	0	4.0	0	0	0	5.0	0	2.0	1.0	2.0	0	35.0	50.0	46.0	29.0	12.0	19.0	14.0	12.0	187.0	124.0	104.0	85.0	23.0	5.0	33.0	59.0	0	0	0	0	0	5.0	0	0	2.0	4.0	1.0	2.0
Aerosticca	199.0	32.0	15.0	10.0	239.0	591.0	1826.0	348.0	61.0	81.0	332.0	50.0	360.0	700.0	483.0	253.0	281.0	120.0	324.0	391.0	0	1.0	0	0	1.0	0	1.0	0	1.0	2.0	2.0	0	0	0	2.0	0	2.0	0	1.0	0	1060.0	456.0	280.0	255.0	13.0	15.0	57.0	56.0	110.0	65.0	67.0	418.0	173.0	32.0	396.0	159.0	7.0	2.0	1.0	0	0	0	0	1.0	0	2.0	2.0	1.0
Ahniella	141.0	30.0	14.0	11.0	69.0	204.0	1784.0	89.0	19.0	74.0	91.0	42.0	174.0	439.0	288.0	163.0	192.0	98.0	254.0	307.0	2.0	1.0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	2.0	0	35.0	20.0	22.0	13.0	6.0	7.0	1.0	4.0	90.0	51.0	30.0	62.0	10.0	6.0	21.0	22.0	0	0	0	0	0	0	0	1.0	1.0	1.0	2.0	2.0
Metallibacterium	29.0	10.0	0	12.0	12.0	26.0	21.0	9.0	2.0	1.0	14.0	6.0	32.0	53.0	22.0	7.0	26.0	41.0	43.0	26.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	3.0	2.0	0	8.0	0	5.0	0	1.0	30.0	7.0	16.0	21.0	6.0	3.0	12.0	8.0	0	0	0	0	0	0	0	0	0	0	0	0
Rheinheimera	285022.0	2170.0	661.0	1653.0	50361.0	171245.0	88731.0	19312.0	16184.0	17779.0	7784.0	4788.0	128414.0	97761.0	1068857.0	327917.0	76414.0	101725.0	345609.0	506336.0	3918.0	10.0	1.0	0	450.0	41.0	1028.0	97.0	158.0	565.0	161.0	44.0	585.0	114.0	20441.0	3129.0	1662.0	668.0	2828.0	2194.0	3232.0	1360.0	1869.0	3502.0	3566.0	6217.0	4494.0	2116.0	56006.0	59178.0	17339.0	21658.0	68661.0	757.0	2471.0	12349.0	147.0	34.0	28.0	43.0	18.0	109.0	116.0	37.0	1818.0	5414.0	1095.0	2254.0
Thiorhodovibrio	452.0	129.0	36.0	46.0	418.0	736.0	1157.0	309.0	78.0	198.0	163.0	87.0	552.0	1134.0	703.0	546.0	705.0	251.0	863.0	1463.0	4.0	0	0	0	3.0	0	1.0	0	2.0	9.0	3.0	0	0	0	8.0	4.0	3.0	1.0	4.0	6.0	100.0	72.0	63.0	37.0	8.0	13.0	26.0	27.0	301.0	179.0	144.0	202.0	69.0	7.0	93.0	61.0	0	3.0	2.0	1.0	0	1.0	3.0	0	3.0	2.0	4.0	3.0
Candidatus Nitrosacidococcus	403.0	45.0	24.0	9.0	113.0	71.0	116.0	30.0	23.0	33.0	41.0	11.0	290.0	484.0	615.0	529.0	134.0	74.0	198.0	197.0	1.0	0	0	0	0	0	0	0	1.0	0	1.0	0	0	0	2.0	0	1.0	0	1.0	0	14.0	14.0	10.0	4.0	0	3.0	2.0	2.0	31.0	38.0	14.0	31.0	18.0	1.0	12.0	10.0	0	0	0	1.0	0	0	0	0	0	0	1.0	2.0
Allochromatium	336.0	63.0	18.0	17.0	284.0	630.0	559.0	247.0	49.0	155.0	167.0	45.0	434.0	772.0	493.0	346.0	472.0	211.0	561.0	966.0	2.0	0	0	0	0	0	1.0	0	1.0	1.0	5.0	0	0	0	0	1.0	8.0	0	5.0	2.0	605.0	225.0	176.0	62.0	8.0	5.0	21.0	8.0	232.0	163.0	93.0	602.0	160.0	16.0	148.0	76.0	2.0	0	0	0	0	1.0	0	1.0	2.0	2.0	1.0	6.0
Thiocapsa	298.0	84.0	27.0	10.0	326.0	450.0	1107.0	422.0	147.0	233.0	141.0	62.0	481.0	685.0	475.0	263.0	412.0	236.0	475.0	573.0	2.0	0	0	0	0	0	2.0	0	0	9.0	0	2.0	0	0	2.0	0	1.0	1.0	1.0	1.0	111.0	67.0	65.0	36.0	10.0	14.0	23.0	15.0	201.0	134.0	85.0	131.0	36.0	9.0	56.0	83.0	2.0	1.0	1.0	1.0	0	0	0	0	2.0	0	2.0	3.0
Nitrosococcus	281.0	112.0	32.0	43.0	107.0	232.0	159.0	60.0	39.0	48.0	70.0	22.0	187.0	322.0	369.0	251.0	200.0	111.0	352.0	442.0	5.0	0	0	0	0	0	1.0	0	0	1.0	3.0	0	0	0	2.0	1.0	1.0	1.0	2.0	4.0	17.0	15.0	25.0	17.0	12.0	9.0	12.0	20.0	126.0	74.0	82.0	71.0	27.0	0	31.0	24.0	0	0	0	0	0	0	0	0	2.0	3.0	1.0	0
Thiodictyon	250.0	72.0	31.0	37.0	249.0	406.0	652.0	256.0	41.0	190.0	113.0	63.0	438.0	764.0	398.0	333.0	348.0	238.0	474.0	698.0	1.0	0	0	0	0	0	1.0	2.0	2.0	10.0	2.0	0	0	0	3.0	2.0	1.0	0	0	3.0	76.0	66.0	73.0	54.0	10.0	10.0	19.0	25.0	192.0	115.0	96.0	145.0	46.0	12.0	51.0	77.0	1.0	0	0	0	0	1.0	1.0	0	4.0	1.0	3.0	2.0
Thermochromatium	245.0	49.0	12.0	13.0	96.0	428.0	191.0	100.0	38.0	97.0	146.0	53.0	246.0	344.0	269.0	358.0	240.0	114.0	252.0	460.0	3.0	0	0	0	0	0	0	0	0	2.0	1.0	3.0	1.0	0	2.0	1.0	6.0	0	2.0	1.0	1076.0	560.0	443.0	99.0	2.0	6.0	4.0	4.0	120.0	111.0	93.0	833.0	314.0	25.0	243.0	49.0	10.0	3.0	3.0	1.0	0	0	0	0	0	2.0	1.0	15.0
Caldichromatium	199.0	34.0	6.0	3.0	127.0	253.0	78.0	118.0	40.0	43.0	42.0	20.0	234.0	304.0	282.0	371.0	265.0	155.0	588.0	776.0	4.0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	2.0	0	323.0	153.0	91.0	32.0	2.0	2.0	4.0	10.0	220.0	47.0	41.0	159.0	61.0	5.0	82.0	21.0	4.0	2.0	0	0	0	0	0	0	1.0	1.0	1.0	0
Thiocystis	140.0	22.0	6.0	13.0	105.0	190.0	546.0	200.0	45.0	82.0	87.0	42.0	203.0	427.0	212.0	110.0	199.0	84.0	219.0	262.0	2.0	0	0	0	0	0	0	0	1.0	2.0	2.0	0	0	0	0	0	0	0	1.0	1.0	106.0	40.0	29.0	28.0	10.0	7.0	8.0	8.0	89.0	85.0	60.0	63.0	15.0	1.0	24.0	34.0	0	0	0	0	2.0	0	0	0	1.0	0	0	3.0
Marichromatium	114.0	19.0	7.0	17.0	157.0	195.0	372.0	119.0	28.0	70.0	80.0	28.0	250.0	462.0	262.0	137.0	161.0	114.0	251.0	342.0	3.0	0	0	0	1.0	0	1.0	0	0	4.0	3.0	0	0	0	1.0	3.0	1.0	0	0	1.0	31.0	24.0	19.0	15.0	3.0	4.0	9.0	6.0	98.0	63.0	44.0	53.0	19.0	5.0	24.0	27.0	0	0	1.0	0	0	0	0	0	1.0	2.0	0	2.0
Thioflavicoccus	102.0	50.0	11.0	7.0	126.0	187.0	581.0	154.0	40.0	77.0	80.0	22.0	188.0	354.0	214.0	106.0	155.0	82.0	195.0	196.0	2.0	0	0	0	1.0	0	0	0	1.0	1.0	1.0	0	0	0	1.0	0	1.0	0	1.0	1.0	7.0	10.0	24.0	10.0	3.0	5.0	6.0	7.0	91.0	66.0	49.0	44.0	21.0	3.0	27.0	50.0	0	0	0	0	0	0	0	0	1.0	1.0	1.0	0
Candidatus Nitrosoglobus	74.0	22.0	6.0	14.0	33.0	53.0	38.0	11.0	11.0	16.0	17.0	15.0	35.0	73.0	128.0	74.0	72.0	35.0	92.0	127.0	3.0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	1.0	0	0	1.0	6.0	10.0	5.0	4.0	2.0	2.0	0	3.0	13.0	10.0	11.0	14.0	5.0	0	4.0	6.0	0	0	0	0	0	0	0	0	0	0	0	0
Acidihalobacter	474.0	144.0	48.0	23.0	344.0	608.0	877.0	279.0	75.0	142.0	131.0	46.0	562.0	1255.0	822.0	564.0	763.0	280.0	1120.0	1390.0	2.0	4.0	0	0	1.0	0	2.0	1.0	0	3.0	0	0	1.0	0	5.0	0	6.0	0	6.0	5.0	284.0	191.0	110.0	52.0	5.0	18.0	23.0	22.0	279.0	194.0	107.0	425.0	91.0	8.0	134.0	78.0	1.0	0	3.0	0	0	0	0	0	2.0	6.0	2.0	4.0
Thioalkalivibrio	456.0	64.0	40.0	27.0	615.0	1027.0	1950.0	635.0	88.0	273.0	333.0	148.0	727.0	1609.0	947.0	515.0	634.0	382.0	943.0	1062.0	2.0	3.0	0	0	2.0	0	1.0	0	0	6.0	3.0	1.0	0	0	4.0	0	4.0	2.0	1.0	1.0	156.0	111.0	151.0	52.0	15.0	21.0	27.0	39.0	440.0	289.0	191.0	315.0	66.0	17.0	95.0	114.0	1.0	0	1.0	0	0	0	1.0	0	5.0	5.0	1.0	8.0
Spiribacter	252.0	48.0	16.0	21.0	307.0	498.0	898.0	299.0	44.0	142.0	154.0	66.0	429.0	746.0	424.0	255.0	256.0	215.0	444.0	547.0	2.0	0	0	0	1.0	0	2.0	0	0	4.0	1.0	0	0	0	2.0	0	1.0	0	1.0	3.0	75.0	49.0	48.0	46.0	9.0	11.0	26.0	20.0	199.0	142.0	83.0	166.0	83.0	5.0	59.0	63.0	0	0	2.0	1.0	0	0	0	1.0	0	1.0	1.0	2.0
Ectothiorhodospira	199.0	25.0	9.0	20.0	281.0	363.0	520.0	263.0	65.0	95.0	93.0	40.0	276.0	525.0	338.0	293.0	323.0	147.0	442.0	882.0	2.0	1.0	0	0	0	0	2.0	0	2.0	3.0	0	0	2.0	1.0	2.0	0	4.0	1.0	1.0	3.0	144.0	76.0	52.0	25.0	6.0	14.0	12.0	7.0	155.0	98.0	56.0	239.0	67.0	11.0	63.0	27.0	0	1.0	0	0	0	0	0	0	1.0	1.0	1.0	1.0
Halorhodospira	147.0	30.0	9.0	3.0	195.0	250.0	731.0	286.0	52.0	142.0	105.0	70.0	171.0	337.0	138.0	136.0	172.0	111.0	189.0	212.0	0	1.0	0	0	0	0	0	0	0	2.0	2.0	0	0	0	1.0	0	0	1.0	1.0	0	48.0	19.0	51.0	22.0	8.0	5.0	9.0	7.0	66.0	54.0	48.0	164.0	49.0	10.0	28.0	19.0	0	0	0	0	1.0	0	1.0	0	2.0	1.0	0	1.0
Alkalilimnicola	115.0	17.0	1.0	6.0	203.0	253.0	436.0	101.0	17.0	65.0	71.0	21.0	208.0	380.0	201.0	140.0	149.0	76.0	261.0	326.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.0	18.0	21.0	11.0	2.0	2.0	23.0	12.0	102.0	45.0	41.0	64.0	10.0	1.0	20.0	12.0	0	0	0	0	0	0	0	0	0	2.0	1.0	2.0
Aquisalimonas	111.0	17.0	5.0	5.0	88.0	236.0	442.0	71.0	20.0	39.0	42.0	27.0	130.0	307.0	184.0	111.0	110.0	66.0	179.0	175.0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	1.0	0	0	0	0	1.0	10.0	20.0	14.0	21.0	3.0	6.0	21.0	4.0	86.0	53.0	20.0	44.0	11.0	6.0	18.0	14.0	0	1.0	0	0	0	0	0	0	1.0	1.0	2.0	2.0
