	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD2_ita_i	CD3_ita_i	CD4_ita_i	CS1_ita_i	CS2_ita_i	CS3_ita_i	CS4_ita_i	DD1_ita_i	DD2_ita_i	DD3_ita_i	DD4_ita_i	DS1_ita_i	DS2_ita_i	DS3_ita_i	DS4_ita_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD2_ita_n	CD3_ita_n	CD4_ita_n	CS1_ita_n	CS2_ita_n	CS3_ita_n	CS4_ita_n	DD1_ita_n	DD2_ita_n	DD3_ita_n	DD4_ita_n	DS1_ita_n	DS2_ita_n	DS3_ita_n	DS4_ita_n	CD1_spa_i	CD2_spa_i	CD3_spa_i	CD4_spa_i	CS1_spa_i	CS2_spa_i	CS3_spa_i	CS4_spa_i	DD1_spa_i	DD2_spa_i	DD3_spa_i	DD4_spa_i	DS1_spa_i	DS2_spa_i	DS3_spa_i	DS4_spa_i	CD1_spa_n	CD2_spa_n	CD3_spa_n	CD4_spa_n	CS1_spa_n	CS2_spa_n	CS3_spa_n	CS4_spa_n	DD1_spa_n	DD2_spa_n	DD3_spa_n	DD4_spa_n
Myroides	95879.0	9512.0	3267.0	5142.0	31787.0	12077.0	14517.0	2250.0	3236.0	3291.0	3700.0	2248.0	48402.0	39374.0	79607.0	90580.0	93344.0	52265.0	50512.0	44058.0	891.0	29.0	0	1.0	95.0	1.0	25.0	7.0	30.0	88.0	60.0	12.0	95.0	8.0	567.0	217.0	812.0	213.0	255.0	158.0	524.0	1455.0	989.0	1115.0	283.0	307.0	449.0	632.0	3191.0	4846.0	4896.0	3156.0	878.0	34.0	833.0	517.0	9.0	28.0	79.0	32.0	4.0	17.0	18.0	5.0	32.0	51.0	44.0	58.0
Paenimyroides	34955.0	2257.0	399.0	753.0	45637.0	3146.0	13033.0	1595.0	2512.0	4084.0	4821.0	717.0	22601.0	52363.0	55006.0	71138.0	47370.0	31473.0	33094.0	32383.0	145.0	6.0	0	0	75.0	1.0	35.0	4.0	17.0	71.0	37.0	6.0	23.0	7.0	264.0	105.0	193.0	51.0	107.0	53.0	520.0	1533.0	804.0	837.0	193.0	64.0	59.0	152.0	4681.0	8446.0	9854.0	4910.0	1059.0	60.0	1135.0	603.0	7.0	15.0	73.0	23.0	1.0	2.0	2.0	3.0	36.0	109.0	98.0	80.0
Polaribacter	16684.0	2195.0	483.0	897.0	7051.0	2341.0	12249.0	1949.0	837.0	1125.0	2119.0	522.0	10409.0	19104.0	41291.0	36501.0	13029.0	11925.0	13477.0	13793.0	128.0	6.0	0	0	16.0	0	44.0	11.0	9.0	38.0	42.0	11.0	18.0	4.0	285.0	76.0	78.0	38.0	63.0	44.0	200.0	353.0	390.0	306.0	192.0	99.0	119.0	181.0	2638.0	2340.0	1070.0	1740.0	573.0	39.0	749.0	408.0	10.0	9.0	22.0	9.0	0	3.0	10.0	7.0	37.0	62.0	18.0	55.0
Amniculibacterium	7758.0	926.0	157.0	206.0	4259.0	3365.0	2637.0	1055.0	865.0	748.0	1695.0	324.0	5104.0	8620.0	19434.0	11113.0	7525.0	5760.0	6583.0	5569.0	51.0	2.0	0	0	13.0	0	11.0	0	3.0	13.0	22.0	0	4.0	3.0	118.0	20.0	42.0	12.0	28.0	17.0	91.0	137.0	117.0	73.0	42.0	34.0	24.0	59.0	985.0	1878.0	12894.0	7234.0	531.0	16.0	411.0	3683.0	1.0	1.0	6.0	0	0	0	0	0	8.0	15.0	102.0	102.0
Capnocytophaga	7629.0	623.0	156.0	195.0	2691.0	845.0	2416.0	501.0	301.0	537.0	1627.0	431.0	4587.0	9931.0	11351.0	8890.0	5857.0	4493.0	7482.0	5644.0	83.0	0	0	0	7.0	1.0	12.0	1.0	6.0	32.0	27.0	2.0	15.0	3.0	61.0	15.0	43.0	14.0	40.0	11.0	120.0	174.0	298.0	206.0	66.0	68.0	130.0	135.0	840.0	937.0	683.0	852.0	266.0	26.0	410.0	192.0	6.0	2.0	13.0	3.0	1.0	4.0	6.0	4.0	11.0	26.0	18.0	18.0
Tenacibaculum	7610.0	1280.0	200.0	474.0	3360.0	895.0	4709.0	722.0	381.0	456.0	947.0	208.0	4531.0	8352.0	17186.0	15713.0	6431.0	6248.0	6485.0	6618.0	44.0	3.0	0	0	4.0	0	8.0	1.0	3.0	20.0	13.0	1.0	8.0	6.0	106.0	32.0	35.0	19.0	20.0	17.0	96.0	146.0	148.0	144.0	75.0	59.0	49.0	86.0	1058.0	996.0	446.0	651.0	245.0	14.0	341.0	179.0	1.0	4.0	12.0	1.0	0	2.0	3.0	1.0	7.0	24.0	8.0	21.0
Winogradskyella	5415.0	730.0	140.0	273.0	2207.0	736.0	3532.0	452.0	267.0	370.0	756.0	150.0	3412.0	6003.0	12549.0	11019.0	4451.0	3796.0	4191.0	4345.0	27.0	1.0	0	0	5.0	0	10.0	0	1.0	10.0	18.0	0	6.0	2.0	83.0	14.0	6.0	9.0	11.0	13.0	73.0	97.0	152.0	110.0	72.0	30.0	43.0	64.0	900.0	858.0	369.0	596.0	199.0	20.0	232.0	137.0	1.0	0	10.0	1.0	0	0	0	2.0	11.0	21.0	7.0	7.0
Aequorivita	4356.0	272.0	45.0	79.0	1403.0	376.0	2466.0	611.0	178.0	371.0	517.0	147.0	2547.0	5647.0	7406.0	5082.0	3148.0	1840.0	3906.0	2974.0	30.0	0	0	0	1.0	0	7.0	0	0	7.0	7.0	0	6.0	3.0	42.0	14.0	23.0	5.0	24.0	13.0	80.0	117.0	107.0	160.0	77.0	39.0	44.0	42.0	599.0	607.0	419.0	363.0	112.0	13.0	146.0	95.0	1.0	1.0	17.0	3.0	1.0	0	1.0	2.0	4.0	7.0	4.0	10.0
Maribacter	3833.0	292.0	101.0	126.0	1524.0	474.0	2134.0	313.0	170.0	268.0	559.0	173.0	2276.0	4785.0	7474.0	6051.0	2889.0	2221.0	3129.0	2676.0	37.0	0	0	0	1.0	0	15.0	0	3.0	8.0	14.0	2.0	4.0	1.0	48.0	8.0	12.0	7.0	13.0	9.0	48.0	84.0	114.0	107.0	38.0	47.0	45.0	56.0	607.0	617.0	253.0	439.0	133.0	11.0	162.0	107.0	3.0	3.0	5.0	1.0	0	0	3.0	3.0	11.0	7.0	6.0	6.0
Cellulophaga	3448.0	454.0	113.0	168.0	1560.0	472.0	2362.0	288.0	192.0	240.0	449.0	104.0	1982.0	3727.0	7784.0	7050.0	2824.0	2488.0	2701.0	2728.0	22.0	1.0	0	0	2.0	1.0	8.0	0	5.0	11.0	9.0	0	5.0	5.0	37.0	10.0	9.0	12.0	8.0	6.0	41.0	73.0	75.0	79.0	30.0	27.0	27.0	39.0	523.0	537.0	227.0	371.0	126.0	9.0	140.0	111.0	0	2.0	2.0	6.0	1.0	0	1.0	1.0	5.0	12.0	6.0	10.0
Formosa	3137.0	354.0	95.0	161.0	1206.0	496.0	1802.0	274.0	146.0	190.0	418.0	86.0	1980.0	3474.0	6638.0	5751.0	2367.0	2051.0	2582.0	2288.0	26.0	2.0	0	0	1.0	0	9.0	0	0	3.0	6.0	1.0	2.0	1.0	29.0	13.0	15.0	2.0	8.0	13.0	39.0	65.0	68.0	74.0	40.0	24.0	24.0	45.0	430.0	415.0	200.0	295.0	113.0	12.0	117.0	58.0	0	0	4.0	1.0	0	1.0	0	2.0	4.0	7.0	2.0	10.0
Nonlabens	3098.0	345.0	85.0	124.0	1114.0	486.0	1931.0	287.0	154.0	215.0	510.0	126.0	1918.0	3616.0	6659.0	5343.0	2622.0	2003.0	2770.0	2461.0	24.0	0	1.0	0	1.0	1.0	5.0	1.0	2.0	11.0	7.0	0	3.0	2.0	40.0	6.0	13.0	7.0	16.0	10.0	53.0	88.0	125.0	103.0	33.0	17.0	44.0	62.0	477.0	420.0	191.0	308.0	109.0	12.0	136.0	90.0	1.0	0	8.0	2.0	0	1.0	1.0	1.0	9.0	14.0	5.0	11.0
Aquimarina	2944.0	342.0	89.0	161.0	1162.0	375.0	1914.0	274.0	150.0	210.0	381.0	142.0	1649.0	3044.0	6468.0	5678.0	2216.0	1989.0	2243.0	2440.0	15.0	1.0	0	0	3.0	0	6.0	1.0	1.0	10.0	10.0	1.0	5.0	2.0	33.0	13.0	13.0	12.0	17.0	5.0	38.0	84.0	85.0	81.0	44.0	16.0	39.0	18.0	399.0	387.0	191.0	294.0	117.0	11.0	116.0	71.0	1.0	1.0	6.0	1.0	0	0	1.0	0	6.0	12.0	4.0	8.0
Lacinutrix	2815.0	321.0	70.0	117.0	1282.0	384.0	2066.0	210.0	141.0	186.0	387.0	53.0	1746.0	3477.0	6911.0	5691.0	2284.0	2107.0	2238.0	2221.0	28.0	0	0	0	2.0	0	4.0	1.0	1.0	1.0	10.0	0	5.0	1.0	28.0	7.0	8.0	0	5.0	3.0	35.0	53.0	52.0	59.0	28.0	22.0	18.0	24.0	413.0	391.0	186.0	269.0	100.0	8.0	99.0	51.0	1.0	0	5.0	0	0	1.0	0	1.0	7.0	6.0	2.0	5.0
Flagellimonas	2434.0	162.0	53.0	51.0	723.0	316.0	990.0	171.0	114.0	157.0	345.0	105.0	1521.0	3373.0	4217.0	3086.0	1558.0	1080.0	2214.0	1621.0	16.0	1.0	0	0	0	0	5.0	0	0	7.0	9.0	2.0	2.0	0	22.0	6.0	20.0	4.0	10.0	8.0	39.0	66.0	88.0	64.0	21.0	16.0	44.0	49.0	349.0	389.0	229.0	275.0	87.0	12.0	121.0	85.0	0	1.0	3.0	0	0	0	1.0	0	2.0	10.0	0	11.0
Christiangramia	2383.0	283.0	55.0	93.0	845.0	350.0	1586.0	288.0	165.0	297.0	550.0	225.0	1515.0	2884.0	4137.0	3433.0	1677.0	1484.0	2047.0	1852.0	29.0	0	0	0	8.0	0	7.0	0	2.0	23.0	15.0	4.0	5.0	0	30.0	6.0	9.0	7.0	16.0	4.0	43.0	71.0	106.0	74.0	19.0	23.0	47.0	46.0	479.0	455.0	188.0	320.0	102.0	6.0	121.0	66.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	2.0	8.0	6.0	3.0	12.0
Lutibacter	2033.0	333.0	45.0	128.0	905.0	263.0	1166.0	168.0	132.0	149.0	281.0	71.0	1331.0	2305.0	4853.0	4211.0	1796.0	1553.0	1747.0	1694.0	21.0	2.0	0	0	1.0	0	2.0	0	0	5.0	6.0	0	6.0	1.0	35.0	9.0	10.0	5.0	7.0	2.0	33.0	30.0	47.0	31.0	20.0	11.0	16.0	25.0	291.0	265.0	135.0	258.0	80.0	4.0	124.0	63.0	1.0	0	4.0	0	0	1.0	0	0	6.0	3.0	3.0	7.0
Zunongwangia	1808.0	215.0	41.0	63.0	758.0	222.0	913.0	183.0	87.0	144.0	242.0	54.0	1152.0	2206.0	3795.0	3088.0	1417.0	1208.0	1415.0	1407.0	13.0	1.0	0	0	1.0	0	4.0	0	1.0	3.0	2.0	0	1.0	1.0	16.0	2.0	9.0	4.0	7.0	5.0	30.0	42.0	64.0	41.0	17.0	12.0	18.0	15.0	289.0	274.0	122.0	212.0	77.0	5.0	94.0	55.0	0	1.0	0	1.0	0	1.0	2.0	1.0	1.0	7.0	1.0	4.0
