	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Aliarcobacter sp.	3592	8	0	0	179	0	620	22	187	14	0	0	66	0	181	0	0	0	0	0	1229	38	2133	3	1349	8	14615	104	2891	6	399	0	2141	15	2667	133	35	0	0	0	6	0	1	0	7	1	0	1	0	2	5	0	1	0	2	1	3	4	2	10	10	2	37	17	23	3	0	1	8	2	8	11
Burkholderiaceae bacterium	3435	68941	749	1209	1939	9	7687	17	17109	12	26828	0	38	0	651	20	61	0	39	0	4042	1595	13362	1519	7147	69	5414	215	10001	15	446	0	5315	121	6815	303	63	70	2	0	20	3	1	0	38	4	29	1	6	4	141	12	18	3	6	3	13	13	3	14	64	9	23	11	169	5	9	2	59	5	38	22
Ottowia sp.	2011	1862	41	37	3773	4	4663	71	12862	120	262	165	51	0	254	0	584	0	56	0	18040	1360	61086	252	17346	1848	5001	763	25499	195	916	0	42732	48	44868	109	59	14	0	0	31	18	2	8	21	15	6	13	10	1	78	2	36	3	4	4	17	15	5	42	52	35	29	36	160	24	5	0	83	3	83	13
Pseudomonas aeruginosa	5559	35	51	27	12675	2318	42337	61457	3120	145	791	950	2333	440	769	315	214	454	151	104	4453	9221	6812	7360	10799	1119	5038	4562	5086	2030	2539	12	6085	1107	8349	580	87	10	2	1	235	149	29	234	75	16	19	17	39	5	166	21	46	34	8	10	22	134	6	425	111	52	42	249	110	144	24	1	104	24	54	37
Bacteroides sp.	1481	0	0	0	19	0	222	20	0	66	0	6	0	0	0	0	565	0	15	20	459	59	777	1137	500	152	109	254	135	0	978	0	545	26	109	0	60	0	0	0	0	2	0	2	0	11	0	2	2	5	8	1	27	5	4	5	6	5	0	54	10	19	5	30	14	5	8	8	9	4	5	1
Paenacidovorax caeni	3517	0	0	0	7731	0	16607	0	37	0	0	0	0	0	0	0	0	0	0	23	3994	1081	6256	5163	4672	68	3413	893	4951	28	218	6	5321	106	16837	73	31	0	0	0	25	0	6	1	0	0	0	0	2	0	3	1	2	0	0	1	7	6	4	66	7	2	8	26	34	1	0	0	13	2	23	4
Simplicispira metamorpha	2406	0	0	0	101	0	170	0	91	0	17	6	0	0	156	0	0	0	0	10	3659	56	4351	48	2177	11	2368	0	2631	0	124	0	2173	62	5277	78	10	0	0	1	0	0	0	0	3	0	0	0	0	0	16	1	1	0	1	0	1	4	1	1	12	0	4	0	26	0	0	0	13	0	18	3
Dietzia sp.	3173	25	0	0	12014	0	9875	6	35599	109	15637	40	2655	0	9243	0	4497	0	3500	0	9878	40	22743	6	10581	7	10308	7	12877	0	5178	0	9423	0	10997	26	53	1	0	1	222	0	3	0	241	1	77	1	8	1	597	0	82	0	19	0	27	0	16	1	44	1	40	6	203	1	12	1	36	0	36	5
Bacteroidetes bacterium	2031	11	0	55	183	0	48	0	134	0	73	0	4	0	0	0	6	0	0	0	1341	34	6045	30	1915	31	2535	0	1170	0	60	0	1786	7	948	0	65	0	0	0	0	1	0	0	4	1	0	1	1	0	6	1	2	0	0	0	8	5	4	8	61	8	9	2	28	4	3	0	15	0	8	3
Gulosibacter macacae	1388	0	0	0	32	0	100	1453	802	7324	213	7091	0	0	54	0	0	0	0	0	13687	32	40974	12	5415	0	3832	0	11236	0	1045	0	7787	0	10539	0	25	1	0	0	7	1	0	15	6	64	3	24	0	1	50	1	19	0	7	0	3	3	2	1	14	0	9	2	66	3	6	0	21	0	16	0
