	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Bordetella pertussis	14	0	0	0	0	0	65	11	136	0	32	0	0	0	0	0	0	0	0	0	77	0	38	78	59	0	150	0	36	0	116	0	3874	0	143	0	14	0	0	0	7	3	1	2	14	0	3	1	2	0	8	0	3	0	0	1	2	0	0	7	19	3	2	6	18	3	2	1	14	1	9	2
Abiotrophia defectiva	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	22	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium paucivorans	12	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermoflexibacter ruber	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parafannyhessea umbonata	7	0	0	0	0	0	0	0	0	6	0	0	0	0	12	0	42	0	12	25	0	0	0	48	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	4	0
Mesorhizobium australicum	6	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Paracoccus amoyensis	4	0	0	0	31	0	0	18	63	24	175	11	0	0	18	0	5	0	0	0	0	560	10	154	0	20	0	9	25	0	20	0	20	0	18	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	13	1	6	0	5	1	1	1	0	0	0	0	0
Holdemanella biformis	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	258	0	0	0	0	0	0	146	12	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	0	1	0	0	0	5	1	1	0	0	0	0	1	0	1	0	1	0
Camelimonas fluminis	6	0	0	0	13	0	7	0	682	0	19	0	0	0	0	0	0	0	0	0	0	0	31	0	10	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	1	1	0	1	1	2	0	0	0	1	0	0	1
Veillonellaceae bacterium	6	0	8	0	0	0	0	129	0	77	0	34	0	0	0	0	12093	33	10	21	0	112	4	175	14	14	6	158	85	0	0	0	204	0	53	6	2	1	0	0	2	0	0	8	0	10	1	2	2	1	15	2	89	4	2	7	0	2	0	32	2	6	0	27	0	2	1	1	4	2	2	6
Chlamydia trachomatis	4	0	0	0	0	0	0	0	0	0	0	26	17	0	0	0	16	0	0	0	9	6	36	81	138	0	14	0	16	0	0	0	144	0	32	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	3	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	1	1	0	0
unidentified eubacterium	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium botulinum	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	56	3	11	131	27	0	21	0	42	0	8	45	0	25	0	77	0	4	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	1	0	1	0	0	1	0	1	0	1	0	5	2	4	1	0	3	3	1	0
Sanguibacter antarcticus	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilia sp.	5	0	0	0	10	23	34	0	0	0	30	0	5	0	28	0	1	0	0	0	0	4287	19	4104	39	0	8	13553	13	15	0	0	10	0	0	0	0	0	0	0	0	11	0	0	0	3	0	2	0	1	37	1	4	3	0	1	0	12	0	77	2	8	0	127	0	26	0	0	0	2	0	7
Campylobacter pinnipediorum	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Gleimia sp.	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
[Tetragenococcus halophilus]	4	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
Elizabethkingia ursingii	16	11	0	0	5	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	178	0	0	0	0	0	144	0	6	0	0	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Corynebacterium terpenotabidum	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Arcobacter nitrofigilis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sinimarinibacterium sp.	4	0	0	0	159	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	14	0	38	0	0	0	0	0	0	0	50	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0
Shewanella sairae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Acinetobacter albensis	17	72	0	22	34	7	92	0	27	40	593	41	130	12	74	0	238	0	42	0	68	8	42	20	197	0	25	49	80	16	41	0	120	6	57	0	1	0	0	0	0	0	1	0	0	0	3	0	3	0	14	0	12	1	1	0	0	0	0	1	2	0	1	2	1	0	2	0	1	0	1	0
Weeksella virosa	14	52	33	15	0	0	0	0	0	0	0	9	0	0	10	0	0	0	0	0	94	0	90	0	68	0	34	0	95	0	251	0	38	37	42	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	3	0	0	0	0	0
Nostoc linckia	0	8	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	43	29	0	0	0	7	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Chryseobacterium bernardetii	1	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	78	0	303	0	22	10	4	0	0	0	0	0	98	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0
Roseobacter sp.	0	12	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	2	0	2	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yimella sp.	0	1182	34	0	16	0	14	98	0	234	69	111	0	0	58	0	38	0	0	0	0	0	0	0	7	0	0	0	18	0	0	0	18	0	0	0	0	5	0	0	2	1	0	6	0	25	0	6	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1
Methylomonas lenta	0	1356	253	77	0	0	0	0	0	0	0	0	0	0	0	0	57	0	19	0	0	0	0	0	0	0	8	0	0	0	0	0	15	0	17	0	1	5	3	1	0	0	0	0	0	0	0	0	2	0	9	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0
Sphingomonas sp.	0	1507	195	155	10239	0	1662	0	278	12	634	0	12	0	79	0	80	3	6	16	0	1670	89	502	221	0	11	77	11475	6	48	0	9	40	163	4	0	86	3	0	54	9	1	0	6	1	10	5	6	3	73	4	24	3	7	3	1	33	0	49	2	9	0	16	85	12	2	1	0	5	3	5
Methylomonas koyamae	0	1556	367	232	0	0	0	0	0	0	0	0	0	0	50	0	176	0	45	0	0	0	4	0	191	0	18	0	0	0	18	0	356	0	119	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	3	0	1	0	0	0	2	0	1	0	0	0	0	0	2	0	1	0
Suicoccus acidiformans	0	719	17829	0	12	741	644	199	2	281	0	8677	5482	48	2724	187	1024	805	6	384	0	191	11	63	0	144	8	72	0	86	4	0	3	100	0	143	1	2	3	0	0	16	0	8	1	7	0	40	42	4	103	8	10	12	2	3	0	2	1	2	0	7	2	5	3	5	2	1	0	3	1	4
Proteobacteria bacterium	0	633	153	35	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	32	0	5	16	0	0	0	0	0	7	0	20	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0
Sphingomonadales bacterium	0	553	59	403	24041	0	91	0	273	0	57	0	8	0	220	0	275	0	6	0	8	1176	61	557	109	0	0	302	8	0	0	0	24	0	0	5	1	1	0	0	51	0	0	0	1	0	2	0	4	0	32	1	29	0	0	0	0	4	0	6	2	0	0	3	1	3	0	1	2	0	0	1
Novosphingobium sp.	0	557	100	631	0	0	0	0	23	0	8	0	6	0	19	0	42	0	14	0	15	77	23	48	148	0	20	0	65	0	6	0	24	0	24	0	0	3	0	0	0	2	0	0	0	1	0	0	1	0	6	0	1	0	1	0	0	3	0	5	3	2	1	0	4	0	0	1	1	0	1	1
Methylophilus sp.	0	785	400	167	0	0	0	0	0	0	0	0	0	0	33	0	90	0	0	0	0	0	0	6	6	0	0	0	0	0	0	0	23	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	1	0	5	0	0	0	0	4	0	15	0	0	0	1	0	1	0	0	0	0	0	0
Duganella vulcania	0	677	5	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	8	0	0	17	0	0	0	0	24	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Methylomonas fluvii	0	466	656	70	0	0	0	0	0	0	0	0	0	0	30	0	42	0	25	0	0	0	0	0	61	0	0	0	0	0	0	0	70	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Sphingomonas elodea	0	519	30	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methyloglobulus sp.	0	312	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Methylicorpusculum oleiharenae	0	262	32	32	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epilithonimonas xixisoli	0	218	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0
Sinobacteraceae bacterium	0	218	34	28	0	0	0	0	0	9	0	0	0	0	13	0	0	0	13	0	0	0	18	22	8	12	11	10	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylophilaceae bacterium	0	998	249	252	0	0	0	0	0	0	0	7	0	0	60	0	93	0	0	0	0	0	0	0	5	0	0	20	0	26	0	0	5	55	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2
Sphingomonas azotifigens	0	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Nosocomiicoccus stercorigallinarum	0	150	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	37	0	11	0	0	6	0	0	6	0	9	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	1	0	0	0	1	1	1	4	2	0	0	0	0	0	1	1
Methylomicrobium sp.	0	173	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Rickettsiaceae bacterium	0	276	0	0	0	0	0	0	4	0	0	0	198	0	197	0	1281	0	0	0	131	0	199	0	1633	5	715	0	8	30	174	0	53	5	24	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	1	0	0	0
Mycolicibacterium madagascariense	0	112	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0
Staphylococcus chromogenes	0	113	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	35	2	4	8526	19	20	0	10	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	9	0	25	0	10	0	4	0	0	0	0	0	2
Epilithonimonas zeae	0	126	8	0	8	0	0	0	33	0	79	5	22	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus safensis	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	3	0	0	0	264	0	14	0	120	0	1	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Methylomonas albis	0	104	52	27	0	0	0	0	0	0	0	0	0	0	0	0	8	0	9	0	0	0	0	0	27	0	12	0	0	0	0	0	18	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Methylotuvimicrobium buryatense	0	265	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium phyllosphaerae	0	132	0	0	57	0	240	0	29	0	21	0	10	0	39	0	0	0	215	0	0	0	12	49	7	0	726	79	363	0	93	0	146	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	0
Simkania sp.	0	134	8	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Undibacterium sp.	0	96	0	0	0	0	14	0	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
Sphingopyxis fribergensis	0	156	8	0	0	10	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	90	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Yimella lutea	0	54	0	0	0	0	0	0	0	0	222	22	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sulfuritalea sp.	0	59	0	0	10	0	671	0	29	0	16	0	0	0	0	0	23	0	0	0	0	0	56	6	0	15	0	8	11	4	0	6	12	0	0	22	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0	2	2	0	0	0	0	0	0	0
Sphingobium sp.	0	81	8	0	122	23	29	0	1225	0	1480	0	16	0	66	0	534	0	0	0	13	343	122	1603	122	40	24	186	141	10	47	0	135	0	56	0	2	1	0	1	1	0	0	1	5	0	0	3	0	1	3	0	1	0	0	1	0	2	0	10	1	0	1	6	3	0	0	0	1	0	1	0
Bacillus altitudinis	0	76	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	263	0	11	0	0	0	25	93	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0
Candidatus Rothia avicola	0	92	25	0	0	0	0	9	0	19	58	8	0	0	968	0	0	0	0	0	0	0	62	0	113	20	79	0	68	23	522	0	365	21	485	8	0	1	0	0	2	0	0	0	0	0	0	0	2	0	14	0	2	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	0	0	1	0
Sphingobium cupriresistens	0	138	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas lenta	0	90	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingomonas pituitosa	0	86	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis soli	0	143	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium hydrocarbonoxydans	0	71	0	0	307	0	141	0	315	0	103	0	0	0	12	0	0	0	0	0	13	667	168	16	18	0	0	26	52	0	33	0	0	0	13	0	3	0	0	0	1	0	0	0	1	0	0	0	0	0	6	0	0	0	1	0	0	5	0	3	1	3	1	0	1	0	0	0	0	0	0	0
Methyloprofundus sedimenti	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingopyxis solisilvae	0	96	250	106	0	0	0	0	6	0	0	0	0	0	0	0	19	0	0	0	0	0	0	55	18	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Methylophilales bacterium	0	64	108	224	0	0	0	0	0	0	0	0	0	0	75	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
Sphingobacterium wenxiniae	0	78	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	9	0	0	0	0	0	14	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
Reyranella sp.	0	86	7	0	0	0	0	0	18	0	0	0	6	0	0	0	0	0	0	0	5	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Methylobacter tundripaludum	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Deinococcus indicus	0	48	0	0	125	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	18	17	5	0	0	17	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	4	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0
Epilithonimonas pallida	0	35	0	0	6	0	6	0	459	0	0	0	0	0	15	0	0	0	0	0	0	7	0	0	0	0	0	9	0	0	16	0	33	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	1	0	3	0	0	0	0	0	0	0
Gemmataceae bacterium	0	38	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Methylococcus sp.	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epilithonimonas tenax	0	36	0	10	9	0	0	0	87	0	0	8	0	0	15	0	20	15	0	0	28	36	171	32	24	6	16	10	61	15	63	0	112	0	15	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	1	3	2	0	0	1	0	1	0
Bacillus kwashiorkori	0	71	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	26	0	0	0	33	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Epilithonimonas sp.	0	45	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
Arenimonas sp.	0	48	0	13	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	30	6	9	0	9	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0
Thiomonas intermedia	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Thermomonas carbonis	0	25	0	0	0	0	0	0	26	0	0	0	0	0	37	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	15	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0
