	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Acinetobacter	9397902	2062266	366301	553330	6730194	609599	13374662	2682510	3011495	98935	3004838	301354	17014852	157410	6363407	177787	7869902	96459	1268098	161003	4944731	1085601	7288724	2230346	8579866	2073040	11870985	1674983	6094359	1685003	12431942	1463	13123356	1214659	8804874	443936	21032	1773	135	42	8383	8213	526	9575	3739	2241	2522	3413	42085	504	52790	1659	25349	1182	1692	1086	2603	3695	739	12582	17160	8392	8817	8834	14594	10579	12723	422	16364	2296	8106	2960
Comamonas	1576680	34261	744	1533	1157640	2986	2739045	9569	24161	1835	68498	1801	56393	184	5136	604	3448	1898	813	734	1417035	682088	1889160	973031	2519147	199500	2580455	852418	2466612	62667	1944427	65	5231286	360508	7256641	39550	4217	94	2	1	1513	576	100	281	260	252	163	158	304	23	551	123	218	139	122	92	753	1781	205	5021	4611	1246	2464	5518	8295	914	1717	36	7524	548	6135	345
Aeromonas	997605	274220	15926	84063	840299	18800	5070506	84795	7367	1569	7359	11659	1112639	357	102796	1227	1983	789	148243	1828	742772	586530	567845	1056857	662364	441245	1215519	1150836	548202	41444	587671	17	989961	79782	2397953	3397	4515	259	14	11	1730	1585	287	1091	119	278	69	693	3609	28	2761	126	242	164	588	119	984	3517	121	9106	2408	6862	1685	16582	2369	661	1437	38	2769	555	5591	286
Flavobacterium	1760334	28248	688	1862	500523	509	106711	6889	1908603	2842	12507	1016	13551	1324	38092	336	38096	73	1218	146	1065596	689281	1808735	608662	4619237	135147	5180123	272256	616424	16612	360210	8	805212	7034	1159509	5581	8758	79	4	2	1395	232	32	147	2656	349	120	170	283	70	1156	154	540	106	122	92	1287	3729	318	7163	21916	1406	6338	5726	3501	665	895	42	2469	155	2635	442
Paracoccus	943937	11603	184	341	1921539	9051	852176	188236	2583378	192652	1393339	130411	14493	859	159428	651	68892	44	4289	239	2114084	1208716	3482377	529606	1776096	64106	563250	135525	1213342	3467	299011	36	1056384	4707	1109095	16139	1922	62	6	7	2365	360	56	624	1931	1331	787	728	183	37	3178	238	924	73	125	68	541	1526	209	2144	1821	670	430	892	3627	303	317	23	1579	73	1052	233
Streptococcus	1212112	1112162	351279	607539	21864	40634	32672	77788	290	231970	2407	120880	30109	21061	95458	1999	119595	26880	47646	29402	619311	258610	1461637	1003680	1799912	847355	2543147	1480671	845332	93141	2596182	13329	1984188	248905	1846711	92547	2692	824	36	8	73	242	12	267	14	1471	24	334	197	111	1136	93	593	147	107	193	316	682	147	3844	2802	1656	1729	4730	2097	674	2029	140	2202	498	1572	549
Aliarcobacter	3012858	34714	2794	17004	266804	1207	615317	232	45892	28	5514	32	90177	29	1552	178	175	3	1706	721	1250930	56556	1928559	11122	972801	4575	6857561	77617	2375726	10523	517762	376	2282591	79065	2417658	26771	8640	52	0	1	451	52	43	27	131	70	31	21	300	8	110	57	116	16	80	46	1050	646	287	303	2994	411	6499	1509	7615	184	771	30	3686	262	2944	362
Tessaracoccus	831507	305	20	12	3026	311	1261	11402	5511	11309	32268	38409	253	16	4494	172	2571	13	340	17	2633341	5572	2609530	1619	603601	140	596460	1600	199450	26	56077	0	181192	24	241688	759	1584	14	1	1	59	25	9	74	53	160	66	193	18	2	398	24	114	7	47	6	661	49	157	97	635	20	384	89	755	34	60	4	330	8	296	56
Corynebacterium	849934	132864	54627	133419	359910	12412	258974	84073	85945	127595	46246	336742	103868	126	612756	1138	394612	177	181417	565	1685778	228694	5093005	82005	1138221	7973	1202526	45105	1478879	14573	2140560	277	4287222	2201	3330158	40513	1705	210	27	7	540	143	18	245	240	540	151	816	422	17	5403	40	1451	37	241	38	453	466	273	558	1405	172	847	498	3359	352	1308	48	5244	43	2540	312
Acidovorax	515772	3308	137	211	400846	230	441173	1034	241993	90	13175	912	1173	1020	4640	162	273	805	40	535	824116	2060007	1931288	998777	1698559	196121	750181	418470	116062	10826	20734	16	262794	2654	377117	13752	1658	26	3	1	670	104	27	64	450	25	72	88	47	32	374	68	84	86	36	43	411	3145	135	4294	3359	533	772	1585	1226	246	101	22	1172	40	1346	141
Dietzia	722022	221	10	49	3241714	97	1875342	506	11295795	3916	4115424	5613	136517	30	1420247	78	716845	79	619765	17	2198144	9573	4671525	1155	1807750	809	1567615	1601	1567392	520	519138	0	1046996	1102	1328918	8696	1369	27	25	16	3785	37	54	21	8498	78	2576	77	269	10	10609	24	2137	13	453	7	505	62	267	64	1746	56	1027	98	3550	93	355	9	1319	32	974	160
Brevundimonas	422323	1038	28	66	1578246	732	408052	404	3682380	1160	3441619	2256	10735	254	220233	317	488728	126	2768	631	1084357	2485483	821592	921758	2667745	45999	320904	417123	758608	11734	156098	0	235249	5119	272506	3294	888	22	2	3	1784	224	13	78	2908	225	1727	133	127	34	2756	119	1974	87	71	50	279	3495	47	3513	3139	339	268	2083	1996	353	177	24	472	77	316	145
Microbacterium	407480	136747	8120	10254	19165886	19065	12472084	59487	28780782	7935	17009502	20293	509980	468	3164020	145	2734012	160	1183520	774	1368362	334528	2371146	86473	1124175	8706	933737	72498	836179	1422	936669	24	964985	751	1254003	3383	1152	189	74	39	25844	271	491	196	21323	283	11881	242	1057	37	27967	48	9254	40	1158	65	446	517	131	416	1553	188	700	381	2364	129	735	13	1698	28	1186	128
Stenotrophomonas	519919	193	18	0	543967	1782	584665	5721	795059	322	27346	1795	741	25	855	158	839	166	71	1630	1094068	495940	1581044	85582	1215699	4782	817613	143088	811118	3143	504551	34	1094286	31965	1413979	1334	1171	7	2	0	704	502	26	451	824	163	67	116	48	21	121	72	81	73	40	94	321	703	102	659	1733	250	596	1117	2195	235	458	6	1695	124	1360	104
Cloacibacterium	697056	27362	96	1650	61944	1373	89163	249	63873	18	3916	0	21	9	266	0	575	0	7	0	487497	8727	352592	90962	1100018	23850	1351131	117534	600518	1398	168225	24	275240	3926	500575	4588	1609	44	1	0	93	81	5	33	87	6	12	4	10	4	51	1	44	2	21	3	271	82	30	433	1824	236	873	513	1766	76	228	13	446	30	579	89
Chryseobacterium	407736	28464	2756	2386	90957	7384	176798	14259	710940	6327	755846	14768	112269	2771	27666	783	37670	20455	6184	17512	265227	56623	620365	34898	1542701	37913	593148	73323	405500	10056	384168	31	429850	7267	345007	2495	2125	93	9	0	512	460	8	339	999	668	676	439	418	101	1201	185	754	202	100	225	303	335	107	588	5264	423	832	871	2355	418	795	15	1463	87	969	193
Vitreoscilla	227310	4500	131	86	1527	61	2889	1298	5	223	17	271	681	14	121	47	33	0	12	94	125462	3626	180533	1787	178056	9714	208069	4539	156109	494	293391	0	345832	8781	389184	61	596	16	0	0	20	27	0	60	1	96	3	10	24	4	50	16	17	3	8	14	74	39	20	56	379	89	162	102	551	56	293	4	489	42	323	17
Shewanella	257222	176	40	10	114569	38	449630	183	4201	24	1397	16	90192	47	8957	17	1377	20	49222	89	96928	19946	55332	6506	454991	22161	340909	41207	77852	2247	49420	0	194408	18	257140	84	939	2	0	0	196	95	18	87	59	21	15	23	294	5	528	17	89	39	97	29	121	534	20	878	1775	1529	614	3031	410	318	127	11	390	21	271	79
Rheinheimera	570550	66	18	17	65173	160	436877	33	209774	8	15923	72	8648	72	7661	735	765	339	258	6	247607	97380	176143	111473	2053222	3628	637901	7891	128884	130215	188987	8	652526	27	947188	1758	3469	12	1	0	480	131	43	41	872	25	90	41	184	28	605	115	157	106	49	23	483	1616	85	4860	14067	968	2588	1962	1420	2857	549	31	2444	88	1773	381
Soonwooa	840484	124647	13723	6949	630542	644	155963	1522	322246	616	142189	211	55723	32	65928	57	292605	6	2585	1908	588247	61064	919033	115213	2156400	56305	772840	69111	1183746	47382	816185	12	720770	40381	563460	2899	2595	128	7	0	998	52	15	41	364	84	118	36	186	4	772	16	1210	7	53	24	358	129	106	424	4792	216	726	336	4300	266	1119	12	1446	88	844	51
Moraxella	328588	89363	8480	39852	124699	146397	259446	75656	4856	349	32683	3140	98347	2387	11282	179	17119	94	340	2336	182919	51935	176024	91481	174340	449930	555152	330634	269625	104966	481481	4694	343933	420881	429901	76119	786	91	7	1	301	1197	20	708	27	114	97	62	496	19	537	30	288	17	25	54	91	159	10	442	302	1206	375	1609	712	722	395	141	448	636	385	330
Propioniciclava	224705	131	0	22	308	0	72	72	3616	1284	11770	2216	54	5	1527	442	928	0	801	6	835347	42	1261742	230	292809	98	199529	91	524527	5	18093	0	652013	6	693330	149	416	3	1	0	12	4	1	8	25	39	33	51	9	2	119	13	52	3	31	1	198	1	68	10	270	6	170	17	1293	5	36	0	839	0	511	19
Myroides	356158	8358	1162	3232	8822	17	11867	237	4121	120	465	107	557	41	580	6	1051	12	100	24	156549	928	10716	1257	116445	537	125531	945	293086	66	84082	0	70290	101	44190	15	928	37	1	1	57	13	1	25	20	47	3	20	39	3	61	19	37	20	17	4	102	8	12	26	460	11	212	18	830	11	228	0	233	0	138	7
Proteiniclasticum	374135	78	0	0	34997	0	38512	9	2885	49	1208	350	53	0	180	11	55	0	369	0	233543	13801	374097	1167	60410	3698	75710	278	78122	60	6708	0	107772	1067	152905	821	2395	2	1	0	80	5	10	2	15	4	4	6	8	2	36	10	32	3	19	3	292	51	102	39	467	25	178	30	431	25	28	4	305	19	294	44
Melaminivora	413280	40	0	0	4723	0	988	2811	80	9338	0	2609	0	0	4	15	17	0	0	0	864377	220	1407963	114	607002	1540	404668	155	1272775	640	93694	12	695757	46592	1342121	558	1565	2	1	0	28	7	2	41	10	140	6	103	7	0	11	2	41	2	41	0	459	4	163	2	1043	35	629	32	3659	34	95	4	917	57	1066	26
Diaphorobacter	319962	246	21	9	23085	30	71394	379	21879	117	2252	42	114	31	232	0	17	85	13	87	368938	79702	754419	38734	464444	5673	404703	14908	391307	764	28657	18	538399	3821	1382647	625	1074	11	1	0	78	35	11	25	34	24	11	20	15	1	42	12	48	12	27	7	237	189	80	283	606	52	440	140	2181	56	32	9	712	25	1147	36
Gallicola	256275	673	13	137	30	0	8	0	0	153	0	537	5	0	10	0	13	0	6	0	96993	0	267497	14	87585	13	123948	10	19292	0	2784	0	100975	29	79977	0	647	12	0	0	3	2	0	1	1	9	0	9	0	0	13	1	14	0	4	1	75	2	28	4	185	1	104	6	139	1	16	0	135	4	86	0
Pseudoclavibacter	143525	128951	3158	2521	8445440	117	7839929	538	19073281	994	15252576	2098	2215372	55	15841328	54	18951885	325	18785798	49	472434	839	1942226	410	1402390	191	1083156	809	356355	0	1031761	0	911082	0	1953109	47	492	241	228	120	9767	13	268	9	12231	19	9272	36	3205	1	112026	4	42064	7	11323	4	114	9	83	10	1327	7	613	23	942	4	632	1	1235	1	1482	7
Granulicatella	705487	1396	210	511	46991	486	11039	4041	1035	141	2052	16729	3886	53	307805	15	216726	0	7164	0	422366	88553	839868	38500	430499	615	538717	18448	117625	30	282239	0	467093	940	312867	22	1420	13	1	2	77	23	0	36	12	18	10	58	39	3	2548	9	702	0	46	2	195	100	54	120	658	8	334	69	295	4	202	0	491	8	250	0
Aquaspirillum	161383	0	0	0	11181	1559	29545	86	6525	895	5	195	1858	0	0	10	7	103	0	903	59797	181541	5162	15374	62356	1031	174954	1188	170265	410	9010	13	87990	437	315556	2089	806	1	0	0	51	43	5	8	91	11	2	12	21	2	16	15	12	20	12	23	108	959	12	404	387	64	318	166	1345	85	31	15	226	25	419	86
Brachymonas	230007	269	8	25	364822	0	387112	82	58	0	27224	0	64	0	6	6	0	0	184	0	363209	3906	620090	8022	297117	160662	126511	23536	246743	97	48679	0	395948	5847	428209	744	407	5	0	0	319	1	11	2	5	1	41	0	9	0	8	9	17	3	7	0	77	36	31	100	358	196	82	132	543	16	48	1	473	27	321	25
Rothia	859298	359968	113964	251003	93930	78591	70510	120181	20566	42158	50232	363150	268656	13110	508918	160	210859	103	92817	15069	640524	184810	1293875	193830	526884	1018274	712528	228360	353303	103713	2494590	201	1468317	107372	1265374	50842	3503	541	40	18	292	710	14	524	57	373	63	2024	1297	51	12377	20	1827	13	311	85	469	480	169	1139	1041	3828	1034	1248	1662	682	3094	23	2971	184	1730	237
Wautersiella	884773	1343	38	82	19259	19	15629	45	234190	4	2136	0	230	15	191	6	344	0	0	16	398695	19734	163684	30237	2266887	8485	350542	10798	30451	1692	20949	0	124538	532	291040	220	1701	3	2	1	21	5	1	2	137	2	6	2	4	3	22	2	21	2	13	4	246	177	26	419	2452	98	322	295	127	26	17	1	126	10	210	18
Acetoanaerobium	178585	12	0	5	3082	0	125	0	653	0	5	12	11	0	6	5	0	0	0	0	62990	37161	43742	2318	29988	274	88940	691	6454	60	98	0	6219	2776	20210	153	589	1	0	0	26	1	0	1	10	0	1	0	1	0	11	9	11	2	3	1	71	54	14	35	106	21	97	21	66	9	5	4	36	17	40	18
Enterococcus	81337	491	1912	567	1066	187	7854	824	189	1022	309	2354	1410	98	2654	77	2737	554	1301	835	31286	2923	76529	4570	17017	303094	88049	8841	3719	902	12051	466	34977	376	50189	494	446	47	7	0	27	350	1	256	16	173	25	181	113	117	453	312	190	482	81	300	57	142	23	280	221	765	178	448	102	333	58	301	238	197	143	315
Leucobacter	158414	8956	290	239	551595	624	475937	22953	1756534	13964	781827	6383	2743	0	47782	1040	35440	24	2803	131	518414	44615	1001804	28960	518377	11395	272134	27486	415641	860	177227	0	659184	184	476558	1576	909	36	5	2	941	53	44	101	2412	151	809	90	79	8	2253	105	631	18	77	34	338	143	104	223	1562	79	478	205	2281	55	273	4	1398	12	798	61
Kurthia	123775	338805	50030	129634	41	443	20	27054	6	0	0	6	45	0	349	0	21	0	56	0	27808	31	23399	124	128527	1348	483166	283	90158	114	333981	6	255382	10493	454462	153	309	308	6	2	5	152	1	140	2	1	2	12	13	1	69	1	10	1	8	6	33	5	6	22	289	40	421	27	258	21	335	5	311	32	453	14
Desulfovibrio	68733	30	6	34	32	0	205	14	0	345	0	41	6	0	28	0	1570	263	172	346	42132	2180	247319	13390	50572	264	10274	2709	38510	0	5224	0	44898	280	69101	16	301	3	0	0	9	5	0	4	1	14	2	6	6	0	42	2	35	16	6	26	49	70	30	99	152	32	24	49	200	27	24	4	99	24	82	15
Exiguobacterium	76980	197	22	16	36875	217970	164627	1244047	99	145	1592	3949	28045	0	1078	0	360	0	19	11	41409	5534	68034	73607	21632	112168	225295	20696	23836	5697	29866	34	48840	13507	232719	685	196	5	0	0	115	1357	5	3684	12	27	9	85	127	5	215	8	53	8	3	7	31	45	6	324	73	377	179	215	119	172	38	12	71	67	215	43
Flaviflexus	160636	0	0	0	40	0	30	72	155	4657	77	71899	0	0	61	0	55	0	0	0	298330	10	561763	8	63530	7	32859	0	148228	11	6303	0	160124	27	185244	0	275	1	0	0	3	4	0	9	2	30	0	179	1	0	4	0	7	1	2	0	60	6	26	6	52	0	24	2	260	6	17	2	184	4	122	4
Lysobacter	113047	135	10	6	6821	530	1967	1407	35631	197	3748	41	1182	0	758	0	238	0	60	6	343899	495	17238	1757	13596	993	4709	2124	15722	2169	1884	575	15495	660	10201	1763	282	3	0	0	62	22	2	13	1879	19	33	11	29	5	129	6	37	7	12	6	87	19	13	97	162	47	33	133	262	63	7	8	80	24	61	28
Bowdeniella	57858	197	0	26	130	0	65	19	1454	43	150	111	35	0	111	0	47	27	0	0	174724	14	216062	0	30415	4	50547	14	22544	6	1209	0	28400	164	44433	15	149	4	0	0	0	1	0	1	2	0	3	7	3	0	5	0	6	0	1	0	44	0	14	3	38	0	45	8	102	5	6	1	54	3	44	4
Fusobacterium	160548	48	0	16	4040	6	2770	347	50	7	27	13	1804	67	937	9	22761	2034	14778	13	97964	39	306278	54	66901	9	42635	162	71213	7	1439	0	96877	73	80347	6	435	2	0	2	42	10	2	51	4	18	10	9	139	7	215	14	521	119	168	14	63	8	25	10	165	16	68	37	260	20	13	16	158	10	101	18
Pseudomonas	56165	1713	587	331	2260382	442710	8149560	384907	88302	6269	19526	355373	183612	47252	26072	84287	5755	38567	2716	13932	86737	1069210	198187	1790819	845311	18668	184637	1084672	71838	263322	26022	719	525905	87148	187466	26465	639	337	72	4	3381	7242	276	2566	670	856	163	1709	687	327	1623	832	389	1074	328	507	162	6255	54	18746	3096	1811	445	17829	852	3657	218	142	1930	732	690	877
Proteocatella	53034	5	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13673	1153	9719	138	4359	0	10794	670	1209	0	20	0	2557	113	4543	0	388	1	0	0	3	1	0	2	0	0	0	1	0	0	3	1	2	1	4	1	47	21	10	14	39	1	43	22	34	1	4	0	22	8	30	4
Caloramator	51799	14105	10194	4813	26	33624	901	850	0	12	6	10	48065	0	42426	0	121375	0	31213	0	9951	6	3306	0	109286	35	140539	2072	2014	3738	62013	0	34334	525	19293	41	227	34	5	1	6	172	0	34	0	7	0	3	180	0	569	0	583	1	95	0	30	3	4	3	381	7	172	83	52	92	71	11	74	21	56	23
Sphingobacterium	38365	339	37	111	86085	248	10027	12688	498691	11208	11308	1973	42	5	176	9	276	0	5	8	16965	8356	19868	2060	797486	1187	175307	2319	11807	319	3981	16	9025	3590	4046	620	278	4	0	0	207	113	0	273	497	870	51	271	18	9	118	14	62	18	4	30	39	83	9	104	1533	65	197	134	245	80	53	9	124	32	70	35
Porphyromonas	38819	37	494	88	8860	6	16659	24	0	2511	16	12	27800	6	3543	0	16340	99	22684	0	18627	58	19417	19	4980	147	18108	20	75585	24	1238	0	149966	2068	74510	0	329	4	4	0	31	18	0	21	4	53	5	20	148	4	344	13	263	48	114	3	51	28	16	11	61	23	57	20	479	29	9	14	237	23	158	16
Lactobacillus	33607	452	6307	2111	51	2363	1437	59557	136	48857	228	82540	36343	1118	51126	2244	1858280	7310	120316	55766	9010	69566	14335	621945	132453	166107	188829	220390	9469	11425	30896	3051	141882	47894	81781	65719	143	5	5	2	10	52	1	237	2	227	6	263	178	30	639	66	5772	62	169	218	13	264	3	2754	305	565	159	988	84	271	73	204	226	153	102	528
Paludibacter	45074	0	0	10	241	0	326	6	494	0	12	0	0	0	14	0	39	0	15	0	29223	455	33643	36	10538	68	37453	85	5451	28	375	0	9892	14	14092	0	390	1	0	0	4	0	0	0	6	0	2	0	2	0	9	1	5	0	5	0	82	36	19	16	74	10	122	19	105	5	7	2	81	4	60	21
Clostridium	33770	4200	14384	1040	1421	10230	929	23647	131	41840	109	51720	7706	3652	51424	535	310640	15580	24790	21131	13778	188573	35845	372278	76440	135437	127322	487854	12892	39938	427645	2900	84219	156537	52626	65356	883	50	8	2	32	159	3	252	13	292	11	360	201	48	1479	120	2381	279	139	278	122	613	37	2257	444	634	257	2051	583	541	874	192	434	397	270	571
Breznakibacter	33942	0	0	0	0	0	6	0	12	0	0	0	113	0	15	0	17	0	11	0	15974	101	15892	0	4497	0	571	0	25	0	0	0	257	21	177	0	593	0	0	0	6	0	0	0	1	0	0	1	0	0	9	1	6	1	3	1	87	31	9	5	48	2	11	6	8	0	1	0	3	2	8	1
Andreesenia	27560	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4043	34	576	22	57	0	9358	162	160	5	10	0	157	89	1714	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	5	0	5	0	0	29	7	3	1	0	0	2	3	9	0
Hydrogenophilus	25452	587	25	166	15	666739	11591	81133	0	170685	493	37308	3991	0	10634	0	20789	0	13833	0	34680	273	22903	18105	43949	39656	121991	1113649	6588	336517	18040	10790	16383	194023	68369	6327	62	7	2	0	1	1915	1	205	0	282	6	85	21	0	224	2	134	7	27	1	22	8	6	117	70	156	71	4332	51	1309	16	85	38	211	54	106
Neisseria	26207	3873	140	305	253	23	1588	66	85	243	139	178	271	35	127	12	296	6	16	34	18956	1456	29016	545	57494	15743	91263	3583	13531	137	46086	0	91504	426	67080	91	153	16	1	1	5	9	1	11	3	10	4	9	18	2	59	15	20	9	4	9	16	45	5	52	175	295	76	155	107	41	125	12	182	7	120	15
Empedobacter	31420	20976	56815	30024	10278	93	86900	205	2980	63	893	26	836	12	2305	7	898	0	254	18	17543	374	19160	4060	243584	668	604686	1481	247753	332	235910	0	1037685	439	588075	29	353	83	11	2	67	59	5	19	35	71	9	31	59	6	119	13	61	13	12	18	39	50	15	98	742	21	603	89	742	42	547	7	1902	2	975	13
Peptostreptococcus	31992	84	20	8	110	0	228	0	0	0	8	11	645	0	130	0	449	254	122	0	7657	76	102347	213	12954	93	7084	75	8367	7	188	0	23716	764	6598	162	177	3	0	0	13	1	0	4	1	9	0	13	57	3	79	7	91	56	15	2	20	10	14	5	50	4	28	17	101	17	2	0	76	14	28	4
Alistipes	17668	0	0	40	39	62	75	72	65	7252	7	216	16	0	194	0	1421	354	307	344	2793	2948	384	1171	482	4203	643	22385	190	69	17774	9	1747	289	2358	65	236	0	0	0	6	7	0	11	11	73	0	17	4	3	65	1	57	17	9	8	48	90	0	59	29	87	13	170	20	29	40	23	29	13	24	29
Deinococcus	19441	6730	315	79	1302334	17177	437801	250205	35	76	3303244	200	0	71	298	5	147	6	0	8	77878	14487	901	4631	1440	79112	143468	76549	576	12895	387	3413	441	154065	490	2562	162	25	1	0	1409	172	11	467	20	34	1706	39	7	16	137	17	45	18	6	10	40	128	2	165	35	348	119	486	48	337	15	69	43	240	24	129
Tissierella	31968	56	0	6	50	8	268	0	77	43	6	78	0	0	0	0	0	5	0	0	7675	81	17881	48	8284	0	3263	16	3810	11	595	0	4242	50	3403	0	250	0	0	0	2	1	0	2	0	3	0	1	1	0	5	3	4	1	4	2	29	7	1	2	41	0	19	5	72	11	7	0	35	5	25	3
Solibacillus	14699	3572	70	841	0	0	15	0	0	0	0	0	0	0	10	0	0	0	0	0	1693	1657	3156	28	22845	895	138943	347	29991	0	89325	0	96895	161	160430	2	137	27	0	0	3	0	0	0	3	0	0	0	2	0	13	0	4	0	1	0	18	20	2	8	106	18	248	19	207	4	146	0	297	4	348	1
Brevibacterium	15109	32746	2523	2218	130916	77	263820	7429	1113323	23194	499805	41019	2001	0	37174	26	13933	107335	2952	34	105065	4119	250533	1357	30236	12334	4890	5337	67131	341	67325	0	31567	142	50559	1353	100	40	0	0	204	26	16	46	867	132	298	147	32	7	648	10	187	377	34	11	25	61	21	76	91	82	28	88	333	95	68	5	141	17	91	68
Bdellovibrio	11669	0	0	0	353	0	3402	0	4708	0	0	13	8	0	19	0	34	0	0	31	2072	55044	12900	534	72965	0	588	97	58	6	0	0	264	0	56	0	233	4	0	0	45	3	1	4	82	4	1	9	4	3	37	8	11	7	2	19	25	503	13	189	440	7	31	73	28	14	1	4	13	3	15	12
Gemmobacter	14214	620	5	22	55814	6	41644	92	10897	14	943	73	416	0	289	0	77	0	32	0	47975	7182	219174	6985	132978	40232	20256	1445	9866	78	1094	0	18269	22	29747	90	93	12	0	0	123	2	0	4	71	2	4	1	14	0	89	5	22	1	2	0	40	70	12	151	185	194	41	104	139	31	12	1	91	3	56	17
Paralysiella	14232	278	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10273	39	21312	28	13802	148	44059	45	10541	0	12779	0	29535	0	61547	0	62	3	1	0	0	2	0	2	0	8	0	0	1	2	10	1	3	2	0	0	10	6	0	5	45	8	34	10	55	0	26	1	55	0	47	1
Trichococcus	11256	7	9	0	0	0	272	6	0	75	0	134	19	14	0	305	6	0	13	0	5386	53	15952	41	3200	0	30653	104	245	0	1822	0	3455	0	6907	0	64	2	0	0	2	1	0	0	0	2	0	6	2	10	5	74	1	13	3	6	7	2	8	7	20	0	37	6	9	2	9	0	17	1	13	2
Pedobacter	12650	116	0	0	3715	50	1261	0	24133	0	2864	0	121	6	91	4	19	0	300	5	6247	13056	23032	6344	171074	97	31390	2204	2001	94	2353	0	1876	17	2098	0	146	4	0	0	23	22	0	10	230	22	38	9	17	9	84	32	26	16	2	25	25	250	5	339	557	27	88	359	39	35	8	1	23	14	14	15
Simplicispira	12979	0	0	0	235	0	1249	0	388	5	17	28	18	0	786	0	4	0	0	10	18702	720	23887	418	12557	58	10782	281	8112	30	603	0	9409	169	27020	271	141	0	0	1	5	2	0	2	11	1	0	3	1	4	56	16	6	2	3	2	28	13	0	23	72	2	26	10	106	4	3	1	51	2	67	12
Bacteroides	17161	191	113	140	8643	13	31871	3000	522	1017	216	70	2580	81	5277	21	19299	248	42002	225	12818	5894	25392	5596	9246	2685	6986	1319	9648	45	10489	6	17951	863	10411	90	489	13	3	1	39	41	6	107	13	95	9	42	86	16	493	25	569	80	166	44	61	251	29	190	111	122	56	216	259	101	94	41	227	21	118	39
Schaalia	8088	0	0	21	33965	0	21451	0	14699	48	6767	12	645	0	568	509	762	5	938	77	11875	63	47864	54	5557	32	53749	577	31392	0	252	0	62394	0	64960	230	49	1	0	0	59	4	3	2	25	1	5	5	30	0	91	73	42	8	16	0	5	0	3	2	20	2	45	8	115	1	7	1	93	0	53	4
Kaistella	19242	355	102	88	10850	276	796	867	200358	915	30185	9261	142	113	753	37	4839	10	35	5	13550	3453	29776	2567	58799	1962	30117	4751	18495	5524	11327	65	13982	256	17737	16	213	4	0	0	67	30	0	31	243	96	97	55	15	5	82	23	89	9	8	7	39	26	11	56	338	19	97	81	237	65	38	7	111	11	89	8
Lysinibacillus	9751	2903	188	504	181	35	50	30	15	0	9	1271	35	0	14	0	101	0	0	0	1928	226	3962	93	15007	587	17911	375	15312	89	18536	6	19717	5150	20951	32	115	12	0	0	5	1	0	3	3	2	3	28	4	0	17	0	6	1	2	1	19	6	3	9	138	31	188	40	230	14	90	4	288	23	189	7
Pseudoxanthomonas	7733	578	35	14	20032	51916	417181	63682	95659	852	52740	1069	713	14	1872	63	821	31	70	0	59900	4717	267797	55660	74413	3850	3919	39553	140641	4326	946	667	253467	29053	136486	1945	113	11	1	0	109	256	18	246	413	19	83	15	27	2	214	33	56	14	9	22	36	51	21	322	187	88	29	331	493	144	14	19	437	57	164	87
Succinispira	6782	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1701	18	1029	5	70	0	40	0	11	0	0	0	31	0	66	0	34	0	0	0	1	0	0	0	0	0	0	0	1	0	4	0	0	0	0	1	4	4	2	0	4	0	1	0	6	0	0	0	1	3	4	0
Peptoniphilus	8125	122	145	6	172	0	646	100	0	0	20	91	42911	0	21	166	72	3205	176	10	3622	32	16980	25	9156	14	5673	41	3957	0	130	0	11155	260	2488	12	160	6	0	0	9	6	1	17	2	6	2	2	230	2	34	41	24	105	17	3	21	2	11	14	62	4	37	10	105	6	8	3	105	5	38	6
