	CAR1_ita_i	CAR2_ita_i	CAR3_ita_i	CAR4_ita_i	CD1_ita_i	CD1_spa_i	CD2_ita_i	CD2_spa_i	CD3_ita_i	CD3_spa_i	CD4_ita_i	CD4_spa_i	CS1_ita_i	CS1_spa_i	CS2_ita_i	CS2_spa_i	CS3_ita_i	CS3_spa_i	CS4_ita_i	CS4_spa_i	DD1_ita_i	DD1_spa_i	DD2_ita_i	DD2_spa_i	DD3_ita_i	DD3_spa_i	DD4_ita_i	DD4_spa_i	DS1_ita_i	DS1_spa_i	DS2_ita_i	DS2_spa_i	DS3_ita_i	DS3_spa_i	DS4_ita_i	DS4_spa_i	CAR1_ita_n	CAR2_ita_n	CAR3_ita_n	CAR4_ita_n	CD1_ita_n	CD1_spa_n	CD2_ita_n	CD2_spa_n	CD3_ita_n	CD3_spa_n	CD4_ita_n	CD4_spa_n	CS1_ita_n	CS1_spa_n	CS2_ita_n	CS2_spa_n	CS3_ita_n	CS3_spa_n	CS4_ita_n	CS4_spa_n	DD1_ita_n	DD1_spa_n	DD2_ita_n	DD2_spa_n	DD3_ita_n	DD3_spa_n	DD4_ita_n	DD4_spa_n	DS1_ita_n	DS1_spa_n	DS2_ita_n	DS2_spa_n	DS3_ita_n	DS3_spa_n	DS4_ita_n	DS4_spa_n
Intrasporangium	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	31	0	43	0	19	0	99	0	17	0	0	0	11807	0	5	0	158	0	70	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	84	0	0	0	3	0	2	0
Methylobrevis	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	16	0	0	0	0	0	0	0	20	0	9	0	2	0	0	0	3	0	0	0	3	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	3	0	1	0	5	0	0	0	1	0	2	0
Beutenbergia	0	0	0	0	10	0	0	0	131	0	99	0	0	0	0	0	9	0	35	0	41	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
Bacterioplanes	0	0	0	0	18	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Acidimangrovimonas	0	0	0	0	10	0	63	0	11	0	10	0	0	0	0	0	0	0	0	0	6	0	24	0	10	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Acuticoccus	0	0	0	0	19	0	30	0	629	0	119	0	0	0	6	0	0	0	0	0	0	8	8	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Litoreibacter	0	0	0	0	13	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7	26	0	13	0	16	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parageobacillus	0	0	0	0	16	149	195	626	0	5	31	51	0	0	30	0	0	0	58	0	0	419	0	653	8	2790	42	1330	0	1666	0	954	0	2378	9	943	0	0	0	0	0	18	0	7	0	35	2	7	0	2	1	8	1	9	1	2	0	9	0	15	0	72	0	182	0	39	0	37	0	45	0	23
Stagnihabitans	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	74	0	39	0	0	0	0	0	0	0	0	0	19	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Paludisphaera	0	0	0	0	12	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	4	2	1	1	0	1	0	0	0	1	0	1	0	0	6	0	0	0	0	1	1	7
Thermicanus	0	0	0	0	12	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Oleiphilus	0	0	0	0	10	0	51	0	0	0	0	0	7	0	21	0	6	0	0	0	0	24	0	14	0	0	0	47	0	0	0	0	0	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Thiolinea	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thalassobacter	0	0	0	0	18	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Halovulum	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tropicimonas	0	0	0	0	12	0	35	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	11	0	0	0	0	0	0	0	45	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aquimixticola	0	0	0	0	7	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rariglobus	0	0	0	0	12	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Frigidibacter	0	0	0	0	26	0	37	0	158	20	34	0	0	0	0	0	0	0	0	0	13	120	52	37	25	17	16	0	96	4	18	0	25	0	10	0	0	0	0	0	4	0	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	3	2	1	0	4	0	0	0	1	0	0	1
Litorilituus	0	0	0	0	10	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Quisquiliibacterium	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	20	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Barrientosiimonas	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	4	0	0	0	0	0	0	0	22	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0	0	0	2	12	0	0	4	4	0	0
Jhaorihella	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0
Methylopila	0	0	0	0	11	0	6	0	90	0	8	0	9	0	0	0	13	0	0	7	0	19	14	0	0	0	9	0	38	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Rhodobaculum	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	31	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Massilibacillus	0	0	0	0	9	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Algibacter	0	0	0	0	13	0	0	0	23	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Desulfotomaculum	0	0	0	0	10	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Neptunicoccus	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tistrella	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	91	0	14	0	0	0	0	0	0	0	50	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Caproicibacter	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Henriciella	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	6	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudolysinimonas	0	0	0	0	9	0	22	0	6	0	0	9	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pseudohoeflea	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tsuneonella	0	0	0	0	9	0	0	0	107	0	9	0	0	0	14	0	0	0	0	0	0	0	0	0	195	0	0	0	58	0	6	0	66	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
Profundibacterium	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
